Entry,Word class,Etymology,Definition
chock,"int., v.",Imitative.,"Representing a short hollow sound, such as that produced by hammering or chopping, by a heavy object striking a hard surface, etc."
choo-choo,n.,Echoic.,"An imitation of the sound of a steam-engine, used as a nursery name for a railway train or locomotive."
chowchilla,n.,Imitative of its note.,"The black-headed log-runner (Orthonyx spaldingi), a small bird found in the dense scrub of mountain ranges in Queensland."
chuck,n.,Echoic.,"A species of cluck: e.g. that made by a cock, or a hen calling chickens, or by people in calling fowls; also that made to incite a horse."
chuck,v.,Echoic.,"To make a clucking noise like a fowl, or that used by henwives in calling fowls."
chuckle,v.,Echoic.,To laugh vehemently; to laugh convulsively’ (Johnson).
chuck-will’s-widow,n.,Imitative of the bird’s cry.,Popular name in U.S. of a species of goat-sucker (Caprimulgus carolinensis).
chud,v.,Echoic.,–
chuff,v.,Onomatopoeic.,Of an engine or machine: to work with a regularly repeated sharp puffing sound.
chug,n.,Onomatopoeic.,"A plunging, muffled, or explosive sound, esp. the characteristic sound of an internal combustion engine when running slowly."
chug,v.,Onomatopoeic.,To make an intermittent explosive sound as of the escape of exhaust gases from an engine cylinder.
chug-a-lug,"int., n.",Imitative.,"Representing a glugging, chugging, or gobbling sound, esp. that of a person consuming a drink in large gulps."
chunk,v.,Onomatopoeic.,To proceed with a plunging or explosive sound.
chunter,v.,Apparently of imitative formation.,"To mutter, murmur; to grumble, find fault, complain."
churr,v.,Echoic.,To make a deep or low trilled or whirring sound.
chutter,v.,Imitative.,"To make a clattering, spluttering noise."
chymer,v.,Apparently onomatopoeic (unless an error).,To shiver
clack-clack,n.,Imitative.,A repeated clacking noise.
clam,n.,Perhaps onomatopoeic.,The crash caused by ringing two or more bells of a peal together.
clamp,n.,Onomatopoeic.,"A heavy, solid step, tread, or stamp with the feet."
clash,n.,"This and the associated verb are first found about 1500, and appear to be onomatopoeic; arising, in the main, from instinctive association with classes of pre-existing echoic words.","The loud sound of collision made by a heavy stroke or blow, the first impact of which is firm and hard, but is followed by a confused sound of many looser and lighter impacts."
click,v.,Imitative of a clicking or sharp tapping sound.,To make a click or clicking sound.
clippety-clop,n.,Imitative.,"The sound made by a horse’s hoofs, or a noise resembling this."
clobber,v.,"Of uncertain origin: apparently connected with clobber (n.). But it has the appearance of an onomatopoeic word of frequentative form: compare slobber, slubber, also clamper to botch, tinker, or patch up.","To patch up, cobble."
clondre,v.,? Onomatopoeic.,"To make a rumbling noise, to drone."
clonk,v.,Echoic.,"To make an abrupt, heavy sound as when something unresilient strikes a hard surface."
cloop,n.,Imitative.,"The sound made by drawing a cork from a bottle, or any similar sound."
clop,n.,Imitative.,A sharp sound such as is made by shoes or hoofs on the ground.
cluck,n.,Imitative.,"An imitation of the abrupt hollow guttural sound made by a hen desiring to sit, or calling her brood together, or of a similar sound."
clucker,v.,Imitative.,To call as a hen does her chickens.
clunk,n.,Echoic.,"A sound such as is made by a cork drawn forcibly from a bottle, by liquid poured out of a narrow-necked vessel, or shaken in a vessel partially empty, etc."
cocket,v.,Imitative.,–
colp,v.,? Echoic nonce-word.,–
conck,n.,Imitative.,The cry of the wild goose.
coo,n.,Imitative of the sound.,To make the soft murmuring sound or note characteristic of doves and pigeons.
cooee,"n., int.",Imitative.,"The call or cry /kuːˈiː/ used as a signal by the Australian aborigines, and adopted by the colonists in the bush."
crank,v.,Apparently onomatopoeic.,"To make a harsh, jarring, or grating sound."
crash,v.,An onomatopœic word having the same relation to crack that clash has to clack and clap.,"To break in pieces with violence and noise; to dash in pieces, shiver, shatter, smash."
craw,v.,Echoic.,Said of rooks or crows.
crawk,v.,Imitative.,"To utter a hoarse sound, squawk."
creak,v.,Apparently echoic.,"Formerly: To utter a harsh cry: said of crows, rooks, etc., where croak (n.) is now used; also of geese, etc."
crick,v.,Imitative.,"To make a thin, sharp sound."
crimp,v.,Apparently imitative.,"To make a crisp sound, as in the compression of snow under the feet."
cronk,n.,Echoic.,The croak of a raven.
croo/crood/croud,v.,Echoic.,To make the murmuring sound of a dove.
crook,v.,Echoic.,To croak.
crool,v.,"Apparently an onomatopoeic formation, associated initially with the imitative group, croo, crood, croodle, crook, crookle, croak.",To make an inarticulate sound more liquid and prolonged than a croak.
croop,v.,This and the synonymous croape are apparently of imitative origin.,"To cry hoarsely; to croak as a raven, frog, crane, etc."
crout,v.,"Apparently onomatopoeic: the initial part being as in crow, croak, creak, and kindred verbs, and the latter part imitative or suggestive of abrupt or grunting sound.",To make abrupt croaking or murmuring noises; to coo as a dove.
crunkle,v.,Echoic.,"To make a harsh dry sound, as by grinding the jaws."
curkle,v.,Apparently imitative.,To cry as a quail.
curl,v.,Echoic.,"To purr, as a cat."
curling,n.,Echoic.,Rumbling in the bowels.
curmur,v.,Echoic.,To make a low murmuring or purring sound.
curr,n.,Echoic.,A curring sound.
curr,v.,Echoic.,"To make a low murmuring sound, like the cooing of a dove or purring of a cat."
dadder,v.,Probably ultimately echoic.,"To shake, tremble; to totter."
dah,n.,Imitative.,"In Morse telegraphy, etc.: = dash."
daud,n.,Imitative of a dull thudding sound.,A heavy blow or thump; a thud.
