Entry,Word class,Etymology,Definition
rim ram ruff,"phr., n.",Probably imitative of the effect of alliterative verse.,Used by Chaucer to evoke the effect of medieval alliterative verse.
roocoocoo,v.,Imitative of the bird’s call.,Of a pigeon or a dove: to coo.
rooty-toot,v.,Imitative of the sound of a trumpet.,"To make a tooting sound with, or as with, a horn or trumpet."
rounce,v.,Probably imitative.,"To behave in an agitated, boisterous, or noisy manner."
rous,adv.,Imitative.,With a bounce or a bang.
row,n.,"Origin uncertain, perhaps originally imitative of the indistinct sound of a noisy commotion.","A noisy or violent argument, a quarrel with someone."
row dow dow,n.,Imitative of the sound of a drum.,"A series of resonant sounds, as produced by beating a drum."
rub-a-dub/rub-a-dub-dub,n.,Imitative of the sound of a drum being beaten.,The sound of a drum being beaten; a drumming sound.
ruff,n.,Probably imitative of the sound of a drum roll.,"One of the ornamental rudiments of side drum playing, consisting of three quick strokes followed by a fourth, producing a light militaristic roll."
ruff,int.,Imitative of a dog’s bark.,"Representing the characteristic bark of a dog, or a human imitation of such a bark."
ruffle,n.,"Probably < a first element imitative of a drum roll with addition of an ending perhaps reflecting frequentative verbs in le suffix and related nouns, or perhaps after ruf 1fle (n.).",A rapid vibrating drum beat.
ruff-raff,adj.,A reduplicative formation (with variation of the vowel) of imitative origin.,Noisy.
rufty-tufty,"adj., int.","A reduplicative formation, in early use probably ultimately of imitative origin.","Rumbustious, boisterous; rough, tough."
rum-ti-too,adj.,Imitative of a drum roll.,Commonplace.
rum-ti-tum,"int., adj., n.",Imitative of a drum roll.,Used as a meaningless refrain or to represent a regular rhythmic sound.
rum-tum,"int., n.",Imitative of the sound of a drum roll.,Used to represent a regular rhythmic musical sound.
rustle,v.,Origin uncertain. Probably ultimately imitative.,"To make a sound typically caused by the shaking or friction of surfaces (usually a soft muffled sound, but in early use sometimes a rattling, clattering, or crashing sound)."
scape,n.,Imitative.,A conventional imitation of the cry of the snipe when flushed (also used for the brambling’s call).
scat,n.,Perhaps onomatopoeic; the identity of the word in the various senses is uncertain.,A blow or buffet.
scat,n.,Probably imitative.,"A style of improvised singing in which meaningless but expressive syllables, usually representing the sound of a musical instrument, are used instead of words."
scat,adv.,Probably onomatopoeic.,to go scat: to fall down; to break in pieces; to become bankrupt.
scraich/scraigh,v.,Echoic.,To utter a harsh cry.
scranch,v.,Apparently an onomatopoeic formation.,To crush with the teeth (a thing somewhat firm and brittle); to chew or bite with a crushing noise.
scraugh,v.,Echoic.,To utter a loud hoarse cry.
scraw,v.,Echoic.,"To clear the throat, to ‘hawk’."
screed,v.,Probably imitative.,"To make a loud, harsh, screeching noise as of something ripping or scraping."
scride,v.,? Echoic.,To make a shrill sound.
scritch,v.,Imitative.,To utter a loud shrill cry or screech.
scroop,n.,Echoic.,"A harsh, strident, or scraping noise."
scroop,v.,Echoic.,"To make a strident, grating, or scraping sound; to grate, creak, squeak."
seesee,n.,Echoic.,"In full, seesee partridge. A small sand partridge, Ammoperdix griseogularis, found in parts of western Asia."
shale,v.,Apparently echoic.,Of water: To make the sound characteristic of tidal movement near the shore.
shallal,n.,Echoic.,A serenade of kettles and pans given to a notorious wedding couple’ (English Dialect Dictionary).
shinder,v.,? Echoic.,To shiver or shatter in pieces.
shoy-hoy/,n.,Imitative of the cry used for,One who scares away birds from
shoyhoy,,scaring birds.,a sown field.
simper,v.,Probably imitative.,To simmer.
sing-sing,n.,Imitative.,A singing or ringing sound.
sis-boom-bah,"int., n.","Echoic, repr. the sound of a skyrocket: a hissing flight (sis), an explosion (boom), and an exclamation of delight from the spectators (bah, ah).",A shout expressive of support or encouragement to a college team.
sistle,v.,Imitative.,To emit a kind of hissing sound.
sizz,v.,Imitative.,"To burn, brand."
sizzle,v.,Imitative.,To burn or scorch so as to produce a hissing sound; to burn up with intense heat.
ska,n.,Probably imitative of the distinctive guitar sound typical of this music.,"A kind of popular music of Jamaican origin, characterized by a fast tempo and emphasis of the off-beat."
skelloch,v.,Probably imitative.,"To shriek, yell; to resound shrilly."
skelp,v.,Probably imitative.,"To strike, beat, slap, smack, in later use spec. on the breech."
skronk,"int., n.",Imitative.,"Representing any of various loud, harsh sounds."
slatter,v.,Imitative.,To clatter.
slodge,v.,? Imitative.,To trail or drag the feet in walking; to walk slouchingly.
sloff,v.,Imitative.,"To eat greedily, dirtily, or slovenly."
slosh,n.,Echoic.,"A pouring of water; a wash; a noise of, or as of, heavily splashing or rushing water."
slosh,v.,Echoic.,To wash with a copious supply of water; to pour water or other liquid copiously over.
slosh,v.,Imitative.,To lap up or swallow greedily.
sluffer,v.,Imitative.,To gobble up noisily.
slump,v.,Probably imitative.,"To fall or sink in or into a bog, swamp, muddy place, etc."
slumper,v.,Probably imitative.,To move or travel heavily or with difficulty on account of miry or muddy roads; to flounder through or along.
smash,v.,Probably imitative.,To kick down stairs.
snaffle,v.,Imitative.,To utter through the nose.
snash,v.,Probably imitative.,To use abusive or impertinent language.
snavel,v.,Imitative.,To snuffle.
sneck,n.,Imitative.,A sharp clicking sound.
sneer,v.,Probably of imitative origin.,Of a horse: to snort.
snick,v.,Imitative.,To cause to click or sound sharply.
snicker,v.,Imitative.,To laugh in a half-suppressed or smothered manner; to snigger.
snicker-snack/snick-snack,"adv., n.",Imitative.,(With) a snipping or clicking sound.
snick-up,n.,Imitative.,"A sneeze, sneezing-fit."
sniff,v.,Imitative.,To draw air through the nose with short or sharp audible inhalations.
sniffle,v.,Imitative.,To snivel or snuffle slightly.
snift,v.,Imitative.,"To sniff, in various senses."
snifter,v.,Imitative.,"To sniff, snivel, snuffle."
snigger,v.,Imitative.,"To laugh in a half-suppressed, light or covert manner."
sniggle,v.,Imitative.,To snigger or snicker.
snirt,v.,Imitative.,To laugh in a suppressed manner.
snoach,v.,Imitative.,"To snuffle; to breathe or speak through the nose, etc."
snob,v.,Imitative.,To sob.
snock,n.,Probably imitative.,A knock; a smart blow.
snop,n.,Imitative.,A sharp blow or impact; the sound made by this.
snop,v.,Imitative.,To strike sharply and smartly; to break in this way.
snore,v.,Probably imitative.,"Of animals, esp. horses: to snort."
snort,v.,Probably imitative.,"Of the nose: to turn up, as in sniffing."
snurt,v.,Probably imitative.,To snort.
snush,n.,"Perhaps imitative of a sneezing sound, but compare Danish and Swedish snus.",Snuff.
snuttering,n.,Imitative.,Chattering.
sob,v.,Apparently of imitative origin.,"To catch the breath in a convulsive manner as the result of violent emotion, esp. grief."
sock,v.,Imitative.,To sigh.
sosh,n.,Imitative.,"A dull, heavy sound; a thud."
soss,n.,? Imitative of the sound of lapping.,–
soss,n.,Imitative.,"The sound made by a heavy, soft body falling upon or otherwise coming in contact with a surface; a heavy, awkward fall."
souse,n.,"Of obscure origin, perhaps imitative.",A heavy blow; a thump.
spank,v.,Probably imitative of the sound.,"To slap or smack (a person, esp. a child) with the open hand."
spat,n.,Probably imitative.,A tiff or dispute; a quarrel.
spat,v.,Probably imitative.,To start up sharply or actively; to engage in a dispute.
spink,n.,Probably imitative of the note of the bird.,One or other of the finches; esp. the chaffinch.
splack,adv.,Echoic.,With a sound suggestive of splashing and smacking.
splatter,v.,Imitative.,To splash continuously or noisily.
splodge,v.,Imitative of the sound.,To trudge or plod splashily through mud or water.
splosh,n.,Echoic.,"The dull, splashing sound of the impact of a hard object striking or struck by something wet and soft; the impact itself."
sploshy,adj.,Imitative.,Sloppy.
splotch,n.,Apparently of imitative origin.,"A large or solid splash or spatter of mud, etc.; a large or glaring patch of colour."
splunge,v.,Imitative.,To plunge.
splurge,n.,Imitative.,An ostentatious display or effort.
splurt,v.,Imitative.,To squirt or spirt out (liquid).
splutter,n.,Imitative.,A noise or fuss.
spooge,n.,Probably an imitative or expressive formation.,Semen. Also: any unpleasant viscous substance.
sposh,n.,Imitative.,Mud; slush.
spraich,n.,Imitative.,A scream or outcry.
sprinkle,n.,Imitative.,"A light, tinkling sound."
spuffle,v.,Imitative.,To fuss or bustle; to be in a flurry or in breathless haste.
squab,"int., adv.",Imitative.,With a heavy fall or squash.
squable,n.,Probably imitative.,"A wrangle, dispute, brawl; a petty quarrel."
squail,v.,Imitative.,To make a shrill noise.
squall,v.,Imitative.,To scream loudly or discordantly.
squark,n.,Imitative.,A harsh croak; a squawk.
squark,v.,Imitative.,Of birds: To croak harshly; to squawk.
squatter,v.,Probably imitative.,? To be fussily busy.
squawk,v.,Imitative.,To call or cry with a loud harsh note; to squall or screech hoarsely.
squeak,v.,Imitative.,To emit a short or slight sound of a thin high-pitched character.
squeal,v.,Imitative.,"To utter (or give out) a more or less prolonged loud sharp cry, esp. by reason of pain or sudden alarm; to scream shrilly."
squeck,n.,? Imitative.,A disease affecting fowls.
squee,"int., n.",Imitative of a high-pitched squealing sound.,"Representing a high-pitched squealing or squeaking sound produced by an animal, musical instrument, etc."
squelch,n.,Imitative.,A heavy crushing fall or blow acting on a soft body; the sound produced by this.
squidge,n.,Imitative.,The sound made by soft mud yielding to sudden pressure.
squiggle,n.,Imitative.,A giggle or sniggle.
squirk,n.,Imitative.,A half-suppressed laugh.
squirm,v.,Apparently imitative.,To wriggle or writhe.
squish,v.,Imitative.,"To squeeze, to squash."
squish-squash,"n., adv., v.",Imitative.,With the splashing or squashing sound made in walking through water or soft mud.
squit,v.,? Imitative.,To squirt.
squizzle,v.,Imitative.,"To squirt out, to squish."
squodgy,adj.,Imitative.,Soft and soggy; squelchy.
sqush,v.,Imitative.,"To collapse into a soft, pulpy mass."
stonk/stunk,n.,Echoic.,The stake put in by boys in a game; especially in that of taw.
stramash,v.,Apparently onomatopoeic.,"To crush, or break irreparably; to destroy."
strim-stram,n.,Echoic.,A rude stringed instrument of the guitar kind.
strum,v.,Echoic.,"To play on (a stringed instrument) carelessly or unskilfully; to produce (notes, a tune, etc.) by such playing."
strumstrum,n.,Echoic reduplication.,A rude stringed instrument.
suffet,v.,? Imitative.,"To beat, strike, esp. with the hand; to thump, cuff, knock about."
sugh,v.,Probably an onomatopoeic formation.,To sigh.
sum,v.,Echoic.,To hum softly.
sumph,n.,Echoic.,The sound of something heavy and limp falling.
sussing,n.,Echoic.,The ‘spitting’ of a cat.
suther,v.,Imitative.,"To sigh, sough."
swack,n.,Echoic.,"A hard blow; a whack, bang."
swack,v.,Echoic.,"To fling, dash; to brandish (a sword)."
swap /swop,v.,Probably of echoic origin.,"To strike, hit, smite (occasionally used of kissing)."
swash,v.,Echoic.,To dash or cast violently.
swash,"adv., int., n.","Imitative of the sound of splashing or agitated water, or of a resounding blow.",Expressive of the fall of a heavy body or blow: with a crash.
swatter/switter,v.,Echoic.,To flutter and splash in water like ducks or geese; to splash water about or splash about in water.
swee,n.,Echoic.,"A South African species of waxbill (Estrilda dufresnii), so called from its note."
sweet,v.,Echoic.,"To pipe, chirp, or twitter, as a bird."
swilk,v.,Echoic.,"To splash or dash about, as liquid."
swish,v.,Imitative.,To move with a swish.
swish,"adv., n.",Imitative.,Expressive of the sound made by a slender object moved rapidly through the air.
swoosh,v.,Imitative.,To make a noise expressed by the syllable ‘swoosh’.
tack,n.,Echoic.,The sound of a smart stroke.
ta-da,int.,"Imitative of the sound of the musical flourish or fanfare (composed of one short note followed by one long note) which often accompanies an entrance, trick, etc., in various kinds of performance.","Used to accompany or draw attention to a dramatic entrance, announcement, etc."
tam-tam,n.,Echoic.,"A metal gong of oriental origin, spec. a Chinese gong, now used in western orchestras."
tang,v.,Mainly echoic.,To strike (a bell or the like) so as to cause it to emit a sharp loud ringing note.
tank,n.,Echoic.,"A blow, a knock."
tantara,"int., n.",Echoic.,"Imitative of the sound of a flourish blown on a trumpet, or sometimes of a drum."
tantivy,"adv., n., adj., int.","Origin obscure: ? echoic, representing the sound of a horse’s feet.",At full gallop; swiftly; headlong.
tarara/taratantara,n.,Echoic.,"Aword imitating, and hence denoting, the sound of a trumpet or bugle."
tat,v.,"Origin uncertain: ? echoic; compare tap, pat.","To touch lightly, pat, tap."
tcha/tchah,int.,Imitative.,An exclamation of impatience or contempt.
teeack,n.,Echoic.,"Awell-known bird of the plover family, Vanellus vulgaris or cristatus, common in the temperate parts of the Old World."
teedle,v.,? Echoic.,To sing (a tune) without words; to hum.
tee-hee,"int., n.",Imitative.,"A representation of the sound of a light laugh, usually derisive."
tewhit/tewit,n.,Originally echoic; see peewit.,The common lapwing or pewit.
thrip,v.,Apparently echoic.,To make a noise with thumb and finger which resembles the whispering of ‘thrip’ or ‘flip’.
throb,v.,"Apparently imitative of a thudding, pulsing sound.","To beat or pulsate with more than usual force or rapidity, esp. as the result of strong emotion or excitement; to palpitate, pound."
throb-throb,"int., n.",Imitative of a repeated throbbing or pulsing sound.,Representing a repeated throbbing sound or sensation.
thrum,n.,Echoic.,"An echoic word representing various sounds, esp. the tones produced by ‘thrumming’ a guitar or similar instrument."
thrum,v.,Echoic.,"To play on a stringed instrument, as a guitar, harp, etc., by plucking the strings."
thrump,n.,Echoic.,"The sound of a blow, heavy fall or beat, etc."
thuck,n.,Echoic.,"The sound of a missile, as an arrow, bullet, etc., hitting a target."
thung,n.,Echoic.,"A dull heavy sound, as of a blow with the fist, but with some resonance."
thunge,n.,Echoic.,"A loud, hollow sound’; ‘a heavy blow or fall producing such a sound’."
thunk,n.,Onomatopoeic.,"A sound of an impact, either dull or plangent."
thutter,v.,Echoic.,To make the sputtering or shaking sound suggested by the word.
thwack,v.,Echoic.,"To beat or strike vigorously, as with a stick; to bang, thrash, whack."
tick,n.,Echoic.,A local name of the whinchat.
tickle-ace,n.,Perhaps imitative of the bird’s cry.,The kittiwake.
tick-tack,n.,Echoic.,"An imitation of a reduplicated or alternating ticking sound, esp. that made by a clock."
tick-tick,n.,Echoic.,"An imitation of the ticking of a clock or watch, or a similar sound."
tick-tock,n.,Echoic.,"An imitation of the ticking of a clock, esp. the slow ticking of a large clock."
tiddly-om-pom-pom,n.,Imitative.,Representing the sound or regular beat of brass-band or similar music.
tiffle/tifle,v.,Apparently onomatopoeic.,"To disorder, disarrange, entangle, ravel."
tik,n.,Origin uncertain. Perhaps imitative of the distinctive popping sound made when the drug in crystal form is lit and smoked.,The drug methamphetamine.
ting,v.,Echoic.,To cause (a small bell or the like) to emit a ringing note.
ting-tang,n.,Echoic.,"A succession of two ringing sounds, differing in tone or force."
tink,v.,Echoic.,"To emit a metallic sound with very short resonance, e.g. as is done by a cracked bell."
tink,"int., n.",Echoic.,A representation of the abrupt sound made by striking resonant metal with something hard and light.
tiralee,n.,Echoic.,The note of the lark.
tirra-lirra,n.,Echoic.,"A representation of the note of the skylark, or of a similar sound uttered as an exclamation of delight or gaiety."
tit,n.,Apparently of onomatopoeic origin.,"A name for a horse small of kind, or not full grown."
tit,v.,"Apparently an onomatopoeic match to tat, the lighter vowel expressing lighter action and sound.","To strike or tap lightly, pat, tip."
titter,v.,Apparently echoic.,"To laugh in a suppressed or covert way (often as a result of nervousness, or in affectation or ridicule)."
tittup,n.,"Apparently echoic, from the sound of the horse’s feet.",A horse’s canter; a hand-gallop.
tock,n.,Echoic.,"A short, hollow sound, deeper and more resonant than a tick, as of a cricket bat striking the ball."
tock,v.,Echoic.,"To make a sound similar to tick, but slightly lower and therefore more resonant."
tong,n.,Echoic.,"A deep ringing sound produced by a stroke on a large bell, deeper than that denoted by tang, but sharper than that denoted by dong."
tonk,n.,Echoic.,"A powerful hit or stroke, esp. with a bat (or racket)."
tonk,v.,Echoic.,To strike.
toodle,v.,Echoic.,To hum or sing in a low tone (as to a baby).
too-too,v.,Echoic.,To make an instrumental or vocal sound resembling these syllables.
tottle,v.,Apparently onomatopoeic.,"To move and bubble, as a boiling liquid."
towl,v.,Imitative.,To yowl.
trongle,v.,Echoic.,A ringing or tingling in the ears.
tucktoo,n.,Echoic.,Name in Burma (Myanmar) for a large house lizard.
tuff,v.,Echoic.,To make a short explosive sound with the breath.
tuffle,v.,Apparently onomatopoeic.,"To put into disorder, ruffle, rumple; to entangle, ravel."
tuh,int.,Imitative.,An ejaculation expressing disgust or disdain.
tum,"v., n.",Echoic.,"To produce the sound made by plucking a tense string, as in a musical instrument, or by striking a drum, or the like."
tump-tump,n.,Echoic.,"A short sound as of water slopping without splashing, or a large ball being kicked."
turr,n.,Probably imitative.,"Any of various guillemots and other auks, esp. the razorbill, Alca torda."
tur-turring,n.,Echoic.,"An imitation of the cooing of a dove, used to designate the action or sound."
"tu-whit, tu-whoo","int., n.",Imitative.,An imitation of the call of an owl.
twang,n.,Echoic.,A vocal imitation of the resonant sound produced when a tense string is sharply plucked or suddenly released.
twang,v.,Echoic.,"To give forth a ringing note, as a tense string or a stringed instrument when plucked; to clang."
twank,v.,Echoic.,To twang with short and sharp effect.
twee,"n., int.",Echoic.,"An imitation of the sound of a horn, and also of the notes of some birds."
tweedle,v.,Apparently echoic.,Of a musical instrument or one who plays it: To produce a succession of shrill modulated sounds.
tweek,n.,Echoic.,"A type of whistler which is heard as a short, high-pitched chirruping noise."
tweet,v.,Imitative.,"Of a bird: to communicate (something) with a brief high-pitched sound or call, or a series of such sounds."
tweet,"int., n.",Imitative.,Representing a brief high-pitched sound or call as made by a small bird.
twingle,v.,Probably imitative.,"To twist, twine, wriggle, writhe."
twink,n.,Echoic.,A local name for the chaffinch.
twink,v.,Echoic.,"To make a light clear abrupt ringing sound; to clink, chink."
twinkle,v.,Echoic.,To flow or move with a tinkling sound.
twirl,v.,Of obscure origin: perhaps merely imitative.,"To rotate rapidly, to spin; to be whirled round or about."
twite,n.,"Imitative, from the note of the bird.","A species of linnet, Linota flavirostris or L. montium, found in hilly and moorland districts in the northern parts of Britain and in Scandinavia."
twitter,v.,Of imitative origin.,Of a bird: To utter a succession of light tremulous notes; to chirp continuously with a tremulous effect.
twizzle,v.,Apparently an imitative formation.,"To rotate rapidly, spin, twirl."
ugh,"int., n.",Imitative.,A representation of an inarticulate sound of the nature of a hollow cough.
uh,int.,Imitative.,"A representation of an inarticulate sound, such as that produced in coughing."
uh-huh,adv.,Imitative.,"A spoken affirmative or non-committal response to a question or remark; ‘yes’, ‘oh yes?’"
uh-uh,adv.,Imitative.,A spoken negative response to a question or remark; ‘no’.
ululu,n.,Imitative.,A wailing cry; a wail of lamentation.
um,int.,Imitative.,Used to indicate hesitating or inarticulate utterance on the part of a speaker.
umph,int.,Imitative.,"An inarticulate sound, expressive of hesitation, doubt, or dissatisfaction."
ur,n.,Echoic.,"An inarticulate sound, uttered instead of a word that the speaker is unable to remember or bring out."
veery,n.,? Imitative.,"A North American thrush (Hylocichla fuscescens), also called tawny and Wilson’s thrush."
voom,int.,Echoic.,Indicating the sound of an explosion.
vroom,n.,Echoic.,The roaring noise of a motor vehicle accelerating or travelling at speed.
waff,v.,Echoic.,"Of a dog, esp. of a puppy: to yelp."
wahey,int.,Imitative.,An exclamation expressing delight or exhilaration.
wah-wah,n.,Echoic.,A musical effect achieved on brass instruments by manipulation of a mute and on an electric guitar by means of a pedal controlling output from the amplifier.
wap,v.,Echoic.,To bark.
waul/wawl,v.,? Echoic.,To utter the loud harsh cry characteristic of cats or of new-born babies.
waw,v.,Echoic.,To cry as a cat or utter a similar sound.
way,int.,Imitative.,Used as a command to a horse (or occasionally to a person) to make it stop or slow down.
wee,v.,Echoic.,To urinate.
week,int.,Imitative.,"Representing a short high-pitched sound, esp. as made by a pig."
weet,"int., v.",Echoic.,An imitation of the cry of certain small birds.
weet-weet,"int., n.",Echoic.,"An imitation of the cry of certain birds, esp. the sandpiper and chaffinch."
wee-wee,v.,Echoic.,To urinate.
wehee,"int., n.",Echoic.,A conventional representation of the sound uttered by horses.
whack,n.,? Echoic.,A vigorous stroke with a stick or the like; a heavy resounding blow; also the sound of this.
wham,n.,Echoic.,"A heavy blow; the sound of a heavy blow (or of an explosion, etc.)."
wham,v.,Echoic.,"To strike violently; to propel with great force, by hitting, throwing, kicking, etc."
whang,n.,Echoic.,"A resounding blow or stroke, or the sound of such a blow; a bang."
wharl,v.,Imitative.,To pronounce the letter r with a burr or guttural sound.
wheak,v.,Imitative.,"To squeak, whine."
whee,int.,Echoic.,"An exclamation of joy, exhilaration, astonishment, etc."
wheech,v.,Echoic.,"To move quickly, esp. through or as if through the air; to whizz; to rush or dash."
wheep,n.,Echoic.,A long-drawn sound of a steel weapon drawn from its sheath.
wheep/wheeple,v.,Imitative.,"To utter a somewhat protracted shrill cry, like the curlew or plover."
wheetle,v.,Imitative.,To whistle shrilly.
wherret,n.,? Echoic.,A sharp blow; esp. a box on the ear or slap on the face.
whew,n.,Echoic.,"A musical instrument, a pipe."
whew,v.,Echoic.,To whistle; to make a whistling or rustling noise.
whewl,v.,Echoic.,"To cry plaintively, moan, whine, howl."
whick,v.,Imitative.,"To squeak, as a pig."
whicker,v.,Imitative.,"To utter a half-suppressed laugh; to snigger, titter."
whimp,v.,Echoic.,To whimper.
whimper,v.,Echoic.,"To utter a feeble, whining, broken cry, as a child about to burst into tears."
whing,v.,Onomatopoeic.,To move with great force or impetus.
whing,"int., n.",Imitative.,A word expressing a high-pitched ringing sound.
whinny/whrinny,v.,Imitative.,"Of a horse: To neigh, esp. in a low or gentle way."
whip-poor-will,n.,"Echoic, from the bird’s note.","Popular name in U.S. and Canada for a species of Goatsucker, Antrostomus (Caprimulgus) vociferus."
whip-tom-kelly,n.,"Imitative, from the bird’s note.","Popular name for the red-eyed greenlet or ‘flycatcher’ of eastern N. America, and the black-whiskered greenlet of the W. Indies, Bahamas, and Florida."
whish,n.,Imitative.,"A soft sibilant sound, as that of something moving rapidly through the air or over the surface of water."
whisp,n.,Echoic.,A slight blast or puff (of wind) or sprinkle (of rain).
whiss,v.,Echoic.,To make a sibilant sound of some kind.
whist,n.,Imitative.,"A whistling sound, a whistle."
whist,v.,Imitative.,"To whisper, murmur."
whit,"int., n.",Imitative.,"Expressing a shrill abrupt sound, as a bird’s chirp, the whistling of a flying bullet, etc."
whitter,n.,Imitative.,"A talkative person, a chatterer."
whiz/whizz,v.,Echoic.,To make a sound as of a body rushing through the air.
whomp,n.,Echoic.,"A heavy, low sound."
whoofle,v.,Echoic.,"To make a snorting, gurgling, or snuffling sound."
whoom,v.,Echoic.,To make a resonant booming or rushing sound.
whoompf,"int., n.",Echoic.,"(Expressing) a sudden, violent rushing sound, as when a quantity of flammable material bursts into flame."
whoosh,v.,Imitative.,"To utter or emit a dull soft sibilant sound, like that of something rushing through the air; to move rapidly with a rushing sound."
whorr,v.,Echoic.,"To coo, as a dove."
whowse,v.,Echoic.,To make a rushing noise.
whuff,v.,Imitative.,To make a sound as of a forcible blast of breath or wind.
whump,"n., int.",Echoic.,"A dull thudding sound, as of a body landing heavily."
whunk,n.,Echoic.,"A dull hollow sound, as of a bullet striking something."
whurl,v.,Imitative.,"To make a roaring or rumbling noise; to purr, as a cat."
whush,v.,Imitative.,"To make a soft rushing sound, as wind, flowing water, waves, etc."
whute,v.,Imitative.,To whistle.
whutter,n.,Imitative.,The sound of the flapping of the wings of a large bird or a flight of birds.
widdly,adj.,Imitative of the sound of an electric guitar.,"Of music or its performance (esp. the playing of an electric guitar): showy, over-elaborate."
wift,v.,Probably imitative.,To turn aside; to go astray.
wim(m)ick,v.,Imitative.,To cry.
wishtonwish,n.,"Imitative, from the cry of the animal.",Native name for the prairie dog of N. America.
wlite,v.,? Imitative.,"To pipe, chirp, warble."
wompoo,n.,Imitative of the bird’s distinct call.,"A large, tropical Australasian fruit dove, Ptilinopus magnificus, with predominantly green plumage, pale grey head, purple breast, and yellow abdomen, and having a deep bubbling call."
woof,"int., n.",Imitative.,Imitation of a gruff abrupt bark of a dog.
woomph,int.,Imitative.,(Expressing) a sound similar to a ‘whoof’ but with a deeper or more resonant component.
wough,n.,Imitative.,The bark of a dog or other animal.
woul,v.,Imitative.,"To howl, cry, wail."
wow,n.,Imitative.,A bark or similar sound.
wow,v.,Imitative.,"To howl, to waul."
wowl,v.,Imitative.,To howl.
wow-wow,n.,Imitative.,A bird of Guyana.
wrag,v.,Of imitative origin.,To struggle or strive; to resist.
wratling,adj.,Imitative.,Speaking with much difficulty.
wrawl,v.,Imitative.,"To utter an inarticulate noise or sound; to bawl, squall."
wrele,v.,? Of imitative origin.,To struggle or move about writhingly.
wrough,int.,Imitative.,Used to represent the snort or grunt of a hog or pig.
wuff,n.,Echoic.,"A low, suppressed bark of a dog."
wumph,n.,Echoic.,"A sudden deep sound, as of the impact of a soft, heavy object."
yackety,int.,Echoic.,Expressing the sound of incessant chatter.
yada-yada,"int., n.","Imitative of the sound of human speech, probably influenced by (or perhaps an alteration of) yatter (n.).",Indicating (usually dismissively) that further details are predictable or evident from what has preceded.
yaff,v.,Echoic.,"To bark, yelp; also, to prate, nag."
yaffingale,n.,Various echoic syllables with termination modelled on nightingale.,The green woodpecker.
yaffle,n.,Echoic of the laughing cry of the bird.,The green woodpecker.
yaffle,v.,Echoic.,"To bark sharply, as a dog; to yelp."
yah,int.,Echoic.,"An exclamation of disgust, aversion, or malicious defiance."
yahoo,int.,Probably echoic.,"An exclamation of excitement, exultation, or delight."
yamph,v.,Echoic.,"To bark, as a dog, esp. a small dog; to yelp."
yap,n.,Echoic.,A dog that yaps; a yelping cur.
yap,v.,Echoic.,"To bark sharply, as a small dog; to yelp."
yarr,v.,Imitative.,"To snarl or growl, as or like a dog."
yarwhelp,n.,? Imitative of the goat-like cry of the godwit.,The bar-tailed godwit (Limosa lapponica or rufa) and the black-tailed godwit (Latin ægocephala or melanura).
yatter,v.,Imitative.,"To talk idly and incessantly; to chatter, or gossip; to gabble; to complain peevishly."
yaw-haw,v.,Echoic.,To laugh rudely or noisily.
yawp/yaup,v.,Echoic.,"To shout or exclaim hoarsely; to yelp, as a dog; to cry harshly or querulously, as a bird."
yech/yuck,int.,Imitative.,An expression of strong distaste or disgust.
yeep,v.,Imitative.,To cheep.
yeow,int.,Imitative.,An imitation of the howl of a wolf or cat.
yeuch,int.,Imitative.,Used as an emphatic expression of disgust or distaste.
yikker,v.,Echoic.,"Of a bird or other animal: to make repeated short, sharp cries."
yip,n.,Echoic.,"A short high-pitched cry, as from a dog; a shout, an exclamation; a complaint, an expostulation."
yip,v.,Echoic.,"To cheep, as a young bird."
yo,"int., n.",Imitative.,"An exclamation used to attract attention, to express warning, surprise, etc., or to incite or encourage action; hey!"
yoax,int.,Imitative.,A call or cry used to urge on hounds.
yock,n.,Probably imitative.,"A laugh, esp. a loud or hearty one; a burst of laughter."
yock,v.,Probably imitative.,"To laugh, esp. loudly or uproariously."
yoff,v.,Imitative.,To make a sound resembling the grunt of a pig.
yoi,int.,Imitative.,A cry used to urge on or encourage hounds.
yoick,"int., n.",Imitative.,A call or cry used to urge on hounds.
yoicks,"int., n.",Imitative.,A call or cry used to urge on hounds.
yolp,v.,Imitative of the sound of swallowing.,"To swallow greedily, hastily, or in large mouthfuls; to gulp."
yolp,int.,Imitative.,"Representing a harsh, high-pitched bark or cry characteristic of dogs and some other animals."
youf,v.,Echoic.,"To bark, esp. in a suppressed manner."
yow,int.,Imitative.,An exclamation of vague meaning.
yowf,n.,Echoic.,A smart swingeing blow.
yuck,v.,Imitative.,To vomit.
yuck,"n., adj.",Imitative.,An expression of strong distaste or disgust.
yum,int.,Echoic.,"An exclamation of pleasurable anticipation, with implication of sensual or gustatory satisfaction."
zap,v.,Echoic.,"To kill, esp. with a gun; to deal a sudden blow to."
zap,int.,Echoic.,"Used to represent the sound of a ray gun, laser, bullet, etc."
zhoosh,v.,Probably imitative.,"Originally among homosexual men: to make more stylish or smart; to enliven, make more exciting."
zing,n.,Echoic.,"A sharp, high-pitched ringing sound; a twang."
zing /zingo,int.,Echoic.,Representing the sudden advent of a new situation or emotion.
zip,n.,Imitative.,"A syllable expressing a light sharp sound such as that produced by a bullet or other small or slender object passing rapidly through the air or through some obstacle, or by the tearing of canvas or the like."
zizz,n.,Imitative.,The noise made by the rapid motion of a wheel.
