,a,b,d,e,f,h,i,j,k,l,m,n,o,p,s,t,u,v,w,z,æ,ð,ŋ,ɑ,ɔ,ə,ɛ,ɡ,ɪ,ɹ,ʃ,ʊ,ʌ,θ
rugged,0.15866818330411253,0.23524431139230728,0.24046329389277257,0.25444043841626907,0.20053871529120387,0.18536150952180228,0.20108707801949594,0.16385507416360232,0.21337466689481124,0.23497145137814587,0.18205331520814644,0.25513926645119983,0.17182500080929863,0.2015694056728245,0.22778122689988878,0.2691759222991837,0.1357139170360871,0.18967240676283836,0.170130643599595,0.18785518997659287,0.1969409796098868,,0.2472401700913906,0.218091284578785,0.18912444189190863,0.3041139416969739,0.26279808146258193,0.23201248005254946,0.27368141938064056,0.26000690367897,0.18284652216566932,0.2152485504746437,0.2500173371528911,0.22707440704107285
delicate,0.07889672775160182,0.07540313154459,0.08359172721119489,0.06517647113651037,0.07555101066827774,0.06336440545107637,0.05759005966995444,0.06902060962536118,0.07140821554734335,0.07910841644936523,0.06869145446434254,0.07897796096472905,0.07823124527931213,0.07601038833567197,0.0726431670502342,0.07489920889252219,0.0555894706930433,0.08325407654047012,0.06321324830624594,0.06755945052612912,0.07928543803947312,0.07999177277088165,0.08955949358642101,0.07343139233333724,0.06875848790837659,0.088164019937578,0.07417959533631802,0.0786238828053077,0.07935280431756529,0.07742797546088695,0.07278079495710485,,0.07420847816644488,0.09485611319541931
active,0.06532427450375898,0.08912832607564174,0.10251802537681126,0.0991627083470424,0.07865366615442326,0.06417083022434537,0.06473126281886848,0.063437527434817,0.08311687462321184,0.09318095759475885,0.06699329763068818,0.0927259552691664,0.06893954439354795,0.07707000487985519,0.08739088517577612,0.0960462005251152,0.05393845304990044,0.08970300555229187,0.06433005696987804,0.052049578612913254,0.0770373870271133,,0.10199246739443296,0.08565653301775455,0.07341656837936329,0.11857757997622184,0.08619145179788272,0.08953334560225669,0.09271510275640736,0.09624029350522746,0.06761382252443582,0.10020138835534453,0.09633400597799141,0.09374188342028195
passive,0.09606390446424484,0.08830914058183369,0.09245599061250687,0.05789685528725386,0.0829524522566277,0.07628376185894012,0.08468200191855431,0.08410164229571819,0.07612517698166463,0.09459946512482888,0.07811345905065536,0.09329943358898163,0.13833706080913544,0.0884005044016146,0.0800196227307121,0.10537435114383698,0.05830283517784932,,0.08154805646174484,0.0891580805182457,0.09020501654595137,0.08603791147470474,0.10480064763264223,0.08845005988290436,0.08075427310541272,0.11110787036327216,0.10500140115618706,0.09234550392085855,0.09545571067266995,0.09733232669532299,0.0832042076757976,,0.08197442863298499,0.08941807101170222
fast,0.0809772784750049,0.10645046243991922,0.134499163295214,0.14468276074954442,0.10488669648386385,0.08821685806564662,0.08617777161884542,0.08041723137316496,0.1032195593445347,0.11705014054272053,0.07209867148688345,0.11918327081552212,0.07856120864550273,0.09280398560147132,0.10719425666415802,0.11793979061589499,0.0647577804236396,0.09361456567421556,0.07688484819195533,0.06919825378628004,0.09610857083346726,,0.1241784365374153,0.1048958951004726,0.10991027339228562,0.15337097413305725,0.12340097087952825,0.10641146258071617,0.11216750732787392,0.1227509383504328,0.08476498426013701,0.12155634785691898,0.12176045916370444,0.09567394852638245
slow,0.035838544707406654,0.03876845895179681,0.03663529913562039,0.026222079593156065,0.03748866165743062,0.03042913448404182,0.03085567070437329,0.0305991060366588,0.03450817091700931,0.03767322379056937,0.034420756676879063,0.039078128185461865,0.04286562496175369,0.03716970898211002,0.036059799729972274,0.040382231352850795,0.02526910164423527,0.035691455006599426,0.03297548298723996,0.02479896880686283,0.0378169006268893,0.037914302200078964,0.04248998865771752,0.03508030574180578,0.03196269016535509,0.04114613382879532,0.046984490007162094,0.03725209705531597,0.04045874964107166,0.03640839446223143,0.03277276658142606,0.034140512347221375,0.037876114035483265,0.03995845520070621
sharp,0.06215165721784745,0.08886075759416118,0.11937593778266627,0.0988179784682062,0.08839638061719397,0.07989138051528823,0.0789408509247005,0.0652714660756436,0.09687094323360806,0.10388356902973449,0.06906076595187187,0.10997236624360085,0.07367991324928072,0.08723556238052609,0.10440613839913297,0.10670769871532462,0.059042918116406155,0.1416027545928955,0.06941954344056728,0.06200186186470091,0.09235052830051808,,0.11925190978429534,0.0994324480606751,0.09369467750989965,0.1369367609373652,0.09178536300632087,0.10112881062454299,0.1012874726974775,0.11779125920600361,0.07528671640301904,0.08116289414465427,0.10408202845703911,0.07107372706135114
round,0.03311570805425827,0.03861679113175295,0.037689765072649435,0.035506379790604115,0.03468915361717537,0.02887695622832879,0.028803652122376427,0.03504241071641445,0.034751728700142204,0.03736504591211225,0.032743621774646174,0.037273607899745306,0.03549269527535547,0.03556191127669687,0.0333862374471107,0.037228555913316086,0.02579118347623282,0.02556354117890199,0.030658453979253115,0.030402741581201553,0.03519616109897961,0.038910023868083954,0.04145318471959659,0.034461409971117976,0.03213771302253008,0.04056149334505652,0.044619244523346424,0.03611229786649346,0.03732982787646746,0.0359486162972947,0.030369037438345993,0.04039691761136055,0.037680648267269135,0.03999247319168515
realistic,0.1384498132674983,0.17233028609816933,0.19906993872589535,0.17553461555923736,0.15198828888070934,0.13363573890593317,0.1281935971637722,0.13886011546620955,0.16692775258914047,0.18518213272715608,0.1379513313786851,0.19050414242914745,0.1381387282907963,0.15765379487505454,0.17255320677414854,0.18793686173398402,0.1097904272377491,0.20052692852914333,0.1364099911337941,0.1245915840069453,0.15812250150038915,0.2160322666168213,0.2021180441580623,0.1775847307982899,0.14846908059661035,0.2398534092713486,0.18750035902485251,0.17699306067079307,0.18933279638340372,0.19251832811851202,0.14837876349114454,0.19875990971922874,0.17417673815309612,0.19017413320640722
fantastical,0.10929774586111307,0.13532533090222965,0.12805338310343878,0.06991082616150379,0.127701935172081,0.08320200070738792,0.11135904242595036,0.10072078386490996,0.0992427510874612,0.12693423482899865,0.1006521223379033,0.11396495401859283,0.11906773783266544,0.11473701931536198,0.10782399841330269,0.12079273809989294,0.07143672509118915,0.047640878707170486,0.09922368824481964,0.11105946265161037,0.12115258537232876,,0.12770737521350384,0.11054604221135378,0.12817476317286491,0.12722080167044292,0.117249496281147,0.1265737870708108,0.13150241374969482,0.1156743789712588,0.11911935359239578,0.12496229261159897,0.11578786586012159,
structured,0.0647177672944963,0.0923232716705763,0.08731642454538656,0.10514287650585175,0.06281070470025665,0.06513776474942763,0.0672669660947893,0.04919635866665178,0.07952258050537263,0.07709934962231939,0.06261900250933,0.07380135985160316,0.06877939283315625,0.07675169969666494,0.0613901836797595,0.08841515678669447,0.05636051200606205,0.025447629392147064,0.06221228891885594,0.028126538265496492,0.07393648652803331,,0.08901562943885272,0.09088162359382425,0.07903900080256993,0.10808465933358227,0.0547292735427618,0.09060516767203808,0.08110382381635599,0.0921677152833177,0.062262790836393835,0.1346992552280426,0.0833382444416589,0.07253615664584297
disorganized,0.046936378940134436,0.05234116892019908,0.0564224138442013,0.04528383196642002,0.051344254684562864,0.04517860745545477,0.04510540442139495,0.04641951725148318,0.04866230577180112,0.05458926792919367,0.04885078907485992,0.05579902102448502,0.04695365602771441,0.04977746017015817,0.051700228744925095,0.054350857171091706,0.03653610351864459,0.05121955228969455,0.044661711432210364,0.047615679200081265,0.050117629958261356,0.055372655391693115,0.05941822131474813,0.05023454719936693,0.04704008746812952,0.060651898259917895,0.05664676055312157,0.052983466785673686,0.05441070271327215,0.05358396862968079,0.047806836361455364,0.044519709423184395,0.05476657534018159,0.057852879911661145
ordinary,,0.07496302525202433,0.07890042263482298,0.11783163994550705,0.06439182307157251,0.046343332466979824,0.05026270356029272,0.11713813580572605,0.07463110091962985,0.08388896311322848,0.07776985604315996,0.09673723019659519,0.024646845646202564,0.0634268159451692,0.09267766273727543,0.08115495604773362,0.042255944306296964,0.11783163994550705,0.064726190856443,,0.06433885314447038,,0.12156236916780472,0.07453935779631138,0.11073809117078781,0.13027397657816225,0.12978853285312653,0.10055734924972057,0.07798552336171269,0.09547214132423203,0.07815966606140137,,0.08203641929183945,0.10299497097730637
unique,0.025130101275153277,0.02815615792166103,0.028415277235063853,0.026836679441233476,0.02655896876967745,0.024425658164545894,0.02386869183958393,0.024580898565343685,0.026307989464707027,0.028436970117585853,0.02461240807387196,0.028318522996465926,0.026580711999149235,0.02735523554401662,0.026520219575049298,0.028090326159575282,0.020784399466049906,0.02430663025006652,0.023563030798650957,0.025068202316761018,0.026813253144463225,0.027049129828810692,0.029918731580120185,0.02767679192672629,0.02539966291644507,0.031158382020821083,0.028593331947922705,0.028197373476732207,0.028228598427004325,0.02813204436385927,0.025654045585542917,0.03144921129569411,0.027521759213865266,0.02770228497684002
interesting,0.10980230023062998,0.1321257846792797,0.16282882827978867,0.11942834373224866,0.1245590945429824,0.10383554165148073,0.1090035991449105,0.10119642950594425,0.12766840613357305,0.13939868686039272,0.09659816128975254,0.145933128228145,0.11317561566829681,0.1219673172808161,0.12956997662782668,0.14844383625918395,0.09044256325190266,0.09873178104559581,0.10711713811408168,0.09677932648496194,0.12025699559428277,,0.1480972243472934,0.13720257783101664,0.11984772534995544,0.17171666515555153,0.13247634131800046,0.13830626907124036,0.14826656635720414,0.14707015028509957,0.11475056575404273,0.07117512077093124,0.13857310855726027,0.13231103257699448
simple,0.05558512028073892,0.07209494985999113,0.08643949764470259,0.08425472904410627,0.060350435401982906,0.05249491179628032,0.04988751004923854,0.05426536708817643,0.07463340704230456,0.07891887340242464,0.06057514237472787,0.08037292930696692,0.06171056590974331,0.06828534769137269,0.07806035698324974,0.0787163831493152,0.043416792753019504,0.06724154204130173,0.05375689687892137,0.04995654118449792,0.06378590198669662,0.10549484193325043,0.09164112800675811,0.07068377839062702,0.06492589174353695,0.10842635011328246,0.09081355362598385,0.07241127308872011,0.08055318401062063,0.0852363922871476,0.05642502704584921,0.09298310521990061,0.07340625116904807,0.07608506688848138
