,a,b,d,e,f,i,j,k,l,m,n,o,p,s,t,u,v,w,z,ŋ,ɔ,ə,ɛ,ɡ,ɥ,ɲ,ʀ,ʃ,ʒ
disorganized,0.0475843745451071,0.04722553767434513,0.06043461117789977,0.03927067952851455,0.041479383089293644,0.044919134984372194,0.041584098186248385,0.04846954027957776,0.048666122543255676,0.04609233484117557,0.054136351791813093,0.03716864615965348,0.04818081087540097,0.045999324833974245,0.04936269236640613,0.0404738475112839,0.03592038405842559,0.0392825246285812,0.04052873924877998,0.04458189941942692,0.053589934176381894,0.054226602986454965,0.04960855538956821,0.054241788526207715,0.049060776543158754,0.049134995167454086,0.04924773808949403,0.04789794949434137,0.04472525417804718
exciting,0.1804201968083594,0.17188094000542356,0.25371409321410787,0.1583304689931018,0.13039234919427348,0.1690520551456718,0.16436523486944762,0.18898799566039504,0.186558376423162,0.18207302936675526,0.2253893293822423,0.10286272661044048,0.16946088054350444,0.1690776405731837,0.19363374702794398,0.13525285988839136,0.13000192397902177,0.12608983046805658,0.12468965583153672,0.11897907964885235,0.19155991549898937,0.212410629932153,0.18669012983640035,0.22956528310227184,0.16146844846230965,0.20854110503569245,0.19372062801190143,0.17716860741879162,
fantastical,0.10121326704393141,0.10136562804798134,0.12263551520536074,0.08417984942595164,0.092143851110623,0.09800874402443337,0.09313399101398429,0.10307481442127497,0.1046436144547029,0.09902787044305693,0.11540900492532687,0.07918678556701966,0.10763176405278768,0.10120221097246711,0.10675362657676352,0.08749412635612923,0.07153566545525263,0.08535202233936669,0.08503733565275734,0.09935932606458664,0.11197307111507052,0.11331724045017073,0.10390511396176674,0.11928113085864964,0.11791959763677032,0.10973390936851501,0.10652234532616356,0.1067209052357902,0.09945625811815262
fast,0.10401182896815814,0.0974167605509629,0.14016500429383347,0.06942371363666924,0.08120392568501805,0.09465819725889073,0.08479700522730127,0.10621419190893094,0.10845953762531281,0.09340288382159864,0.12589659146738774,0.06116882379612197,0.09882482677554162,0.09254741467731564,0.11135332368954814,0.07745731048454337,0.0698117596528879,0.07408557839405078,0.06783194469942434,0.06263613561168313,0.11458833932000048,0.11198925572292258,0.09753069532318757,0.12831041946805813,0.08397683363569819,0.08055804576724768,0.1060298852622509,0.10169047160217395,0.11775465309619904
feminine,0.07105642988449998,0.07445617758909638,0.08929835557937622,0.07896677777171135,0.05885528552938591,0.06997270887401306,0.06551690399646759,0.07096519348535525,0.07043199909767553,0.06937610477966777,0.07936000137736923,0.057879911619238555,0.07159237028099597,0.06540395533666014,0.07419793560984544,0.062103728654685324,0.05461204627200084,0.05908232021790284,0.06230922010929688,0.06477952282875776,0.08154756661194067,0.08260231542176213,0.08034243807196617,0.08521916848993061,0.07196361447374026,0.04381430521607399,0.07377611837360297,0.07214507762471149,
free,0.025610787705912515,0.02529027464871223,0.03170392861486309,0.02121225409209728,0.023549150657345308,0.023954088880294343,0.024515044976673697,0.025540963500267716,0.026766592944131314,0.025063481247755436,0.029241986436451355,0.019477245113294985,0.027207062048750504,0.02548958304562146,0.026736292218708473,0.022116857240172594,0.01998878817823602,0.021274334237648126,0.021781578848792893,0.02428981475532055,0.0282209599076697,0.028232600219303468,0.0257764865151223,0.029174101089925637,0.026864440835736417,0.02692084852606058,0.026290056408154516,0.02705650107674701,0.025943176820874214
good,0.08428756956655149,0.0918370923632151,0.15485378001865588,0.02868814766407013,0.05671499750536421,0.07716916377770983,0.09290096703916788,0.07965686989306402,0.08914002088400033,0.0829567068171772,0.10033130625055896,0.02151168417185545,0.07377486589830369,0.07911005656784162,0.08170687097349558,0.05383415447305078,0.054702610575727055,0.04720484894736634,0.07182515065731673,0.025097740814089775,0.07940301208967163,0.09924139014699242,0.07047627152254184,0.11125503010892619,0.07197136835505565,0.10632365631560485,0.08373759583906924,0.0811119622950043,
happy,0.07779732767273398,0.07598175242057313,0.13780601102520118,0.029674209654331207,0.03568201915671428,0.08819473278708756,0.10307807680219412,0.08771894726339939,0.12209879762182634,0.10461572515778243,0.12359533947892487,0.043640611693263054,0.09054186249053792,0.10035385817966679,0.12184246962494923,0.06573877418818681,,0.04999333079450014,0.10930473171174526,,0.1031376035197785,0.11863120943307877,0.08204633396651063,0.09263714263215661,0.10398779002328713,0.13284599781036377,0.09402522171336797,0.10831858466068904,
hard,0.10326553041729626,0.09744397906023403,0.14542634309166008,0.08182143904268742,0.07257653973028651,0.09517807108793586,0.09883397036885962,0.10776807241602906,0.10666678523084203,0.10251332643545336,0.12983910485011776,0.062196685860936456,0.0977098977424994,0.09360072146876748,0.11031144846019265,0.07658425097171434,0.07323983177369417,0.07082268855689715,0.07036441360675805,0.06301139760762453,0.10976979027277436,0.11630980646417986,0.09723424308878534,0.133976766314262,0.09250379332269613,0.11924013867974281,0.11058496436399727,0.09968952287829691,0.12285351008176804
harsh,0.18876556643141956,0.17891197506594295,0.26716154260007113,0.15307619894544283,0.1338861469994299,0.17564400173811975,0.18001413679060838,0.2009772495867181,0.1923187309787387,0.1875866075494775,0.23379159222046533,0.11471099171925474,0.17394934155149944,0.17274190274527274,0.19992398695777291,0.14106877300461443,0.13982684598412626,0.13420310784285225,0.13368942754695545,0.1308782584965229,0.20699346931965162,0.21960988676836413,0.18334073573350906,0.24368928471564227,0.1715046884836974,0.22469319868832827,0.20630975261385187,0.1835768844491692,0.22107475996017456
heavy,0.09731993433875097,0.09047144018704929,0.13698892822672784,0.07803709844925574,0.06751162600186136,0.08728435105342724,0.08837652500978736,0.0991101466663654,0.10079218917966482,0.0944943164746898,0.11748912817749538,0.04395391047000885,0.08992978682698205,0.08496483131311834,0.10176313038429488,0.07150236142669769,0.0646431035839203,0.06596172167184322,0.0651148878650306,0.06132553983479738,0.09978099435261667,0.10771957611931222,0.09694564209452697,0.1256812828870719,0.0787521476785724,0.1007178674141566,0.10225671475289368,0.0924873640558318,0.11323845386505127
inhibited,0.18465122585455893,0.17231782365303774,0.2706228292857607,0.14949235891302426,0.12997882111812942,0.17669181654729493,0.17878059637935265,0.19565445818515564,0.19149719247395552,0.1852073021373659,0.24082806651912084,0.11065734239916007,0.1735449918310776,0.166746641827535,0.19960985018507293,0.13835491897832405,0.13463610501551046,0.12707270183560684,0.13074933943917622,0.12163474783301353,0.20248322712069147,0.21699918464559023,0.17812981303123868,0.24209854509016232,0.16900880289850412,0.2224851055070758,0.2008092449521119,0.17884549782961928,0.21659310162067413
interesting,0.12851958473420322,0.12338809175860314,0.17662235827495654,0.08397929991285007,0.09660044736643829,0.12208030017189167,0.11632340059087083,0.13036937682692884,0.1301499672323287,0.12703445947475053,0.1506592127330163,0.07459654638336764,0.11736664731885485,0.11472725010279453,0.13665752467610429,0.0978122542636763,0.08657692115882347,0.09528434638404983,0.09806259092493136,0.08743888419121504,0.13957874936362108,0.13842224767026695,0.14102830399166455,0.15668259075154428,0.11680977030292801,0.1440649598836899,0.1294287686334483,0.12578459891986538,
light,0.029721319259629703,0.028851529487246085,0.03495023779990807,0.023690331062035903,0.028365479006121557,0.028129441629879286,0.02763882374694181,0.029626395728793258,0.03151193785189248,0.028609961659337085,0.03426601522062954,0.022171439052644102,0.03191231540295967,0.02924392734421417,0.030849802619575158,0.02580516724623142,0.022428636734442012,0.025120582611283714,0.025204094764712737,0.027026840019971132,0.0322160775301187,0.03224026320302593,0.030901129490562847,0.031654929325572755,0.030814772185224753,0.029014193763335545,0.029112222354137615,0.03134395494935629,0.028766199946403503
