,a,e,i,j,k,l,m,n,o,p,s,t,t͡ɕ,u,w,ŋ,ɛ,ɯ,ʌ
disorganized,0.0573174104572752,0.052722442895174026,0.058827743816532586,0.056919256846110024,0.05661895928904414,0.06271468515635706,0.05757685317549595,0.06643110521613284,0.05516509594932451,0.060043253205917975,0.06055172719061375,0.05819454602897167,0.06925072222948074,0.05733321878043088,0.05543988982313558,0.061365282680425376,0.055214444641023874,0.0650421523130857,0.0700715050192141
exciting,0.2381222933029928,0.25264724024704527,0.25559444689169164,0.22682028429375756,0.2357430642493713,0.2657713683843613,0.23851623974348368,0.28050043070927644,0.22357722974958874,0.2569380072610719,0.24612577259540558,0.2385623043491727,0.26411986649036406,0.2372205751863393,0.22624111802954422,0.242708314273317,0.23001385107636452,0.2688461184501648,0.28255463859864643
fantastical,0.11866554784009585,0.11005618423223495,0.12273218143465263,0.11752731684181425,0.11831301791906947,0.12919212574473557,0.11687861975621093,0.13453478117783865,0.11516302312582226,0.1251167073040395,0.1241642776876688,0.11960847187237661,0.1459558717906475,0.1187466721643101,0.11427634601530276,0.12700973712914698,0.11629179709901412,0.13478375697398887,0.14182161779275962
fast,0.13924010334586776,0.11470781763394673,0.13360658148303628,0.13229817850515246,0.133793424479432,0.14970189927701363,0.1384314644981075,0.158050339032964,0.12711523943825773,0.14812853598389134,0.1410386636853218,0.13562027851537783,0.1577928337980719,0.135063097323291,0.1304267546848247,0.14047218078658694,0.12789738483049654,0.15149453099893065,0.1572961848643091
feminine,0.07926568712450956,0.05733559001237154,0.08834534152769126,0.08841387235692569,0.08251577998157096,0.09206576610312742,0.07462474771521309,0.09545991718769073,0.07887632901278827,0.08286975920200348,0.08687642713387807,0.08203791419509798,0.09334959089756012,0.08569770637485716,0.07914708790026213,0.08495959984483542,0.08183776127064929,0.09371988206273979,0.09934800352763247
free,0.030473143408695856,0.027094108156032033,0.031181175028905272,0.030607226201229625,0.03001440699978415,0.03374655012747431,0.02985709694524606,0.03414636604646419,0.029319601558279573,0.03294330377232384,0.03085614461451769,0.030971371351430813,0.03613088522106409,0.03090817942707376,0.02961189868418794,0.03255083565026114,0.029493816844795063,0.033828512000948635,0.03751095641581785
good,0.12160330603796023,0.09959010365936491,0.13092824979685247,0.11527148485183716,0.12120915241151427,0.13508817176897447,0.11517244776089987,0.14219785712916275,0.12458797304758004,0.13759326040744782,0.12145264260470867,0.1255706668157002,0.14484061460409844,0.1212052103570279,0.11082012779437579,0.11959808822721243,0.10847007657090822,0.1330644808271352,0.1451620661550098
happy,0.1270338150069994,0.051880933344364166,0.12306156577098937,0.12330035865306854,0.11645145593211055,0.12992620437729116,0.10669632256031036,0.13563157059252262,0.11484949207968181,0.1309194564819336,0.10727441310882568,0.11726548559963704,0.13079999685287474,0.13116023316979408,,0.12785265616634311,0.10511368471715185,0.13051922898739576,0.1445407946320141
hard,0.14197085576353374,0.11822477935089006,0.14640820130275992,0.12947170270813835,0.13650564162886328,0.15393840348878443,0.14165095798671246,0.1618176860941781,0.1360511808541783,0.14821598860057625,0.14311263337731361,0.13862806416542853,0.16450971944464576,0.1372494882968969,0.1326877600268314,0.1483443030347563,0.1327146973622882,0.15493227394692827,0.16333470529034025
harsh,0.2576765874904153,0.21944591237439048,0.2661419763879956,0.24564017521010506,0.25137826858671625,0.28001843049730124,0.2553408027372577,0.29861915890466084,0.24904276705101916,0.2658285635548669,0.2658228278160095,0.25272877289560336,0.2985153906047344,0.24911892080101475,0.24623914925675644,0.2705188432376679,0.25044328363045404,0.2866939728458722,0.2998157971235643
