,ŋ,ɡ,ʃ,l,m,k,b,ɪ,θ,s,o,d,v,ð,f,ʊ,j,ɑ,ɹ,ʌ,w,h,ɔ,ə,ɛ,z,a,e,u,i,æ,t,p,n
passive,0.10480064763264223,0.09234550392085855,0.0832042076757976,0.09459946512482888,0.07811345905065536,0.07612517698166463,0.08830914058183369,0.09545571067266995,0.08941807101170222,0.0800196227307121,0.13833706080913544,0.09245599061250687,,0.08603791147470474,0.0829524522566277,,0.08410164229571819,0.08845005988290436,0.09733232669532299,0.08197442863298499,0.08154805646174484,0.07628376185894012,0.08075427310541272,0.11110787036327216,0.10500140115618706,0.0891580805182457,0.09606390446424484,0.05789685528725386,0.05830283517784932,0.08468200191855431,0.09020501654595137,0.10537435114383698,0.0884005044016146,0.09329943358898163
fast,0.1241784365374153,0.10641146258071617,0.08476498426013701,0.11705014054272053,0.07209867148688345,0.1032195593445347,0.10645046243991922,0.11216750732787392,0.09567394852638245,0.10719425666415802,0.07856120864550273,0.134499163295214,0.09361456567421556,,0.10488669648386385,0.12155634785691898,0.08041723137316496,0.1048958951004726,0.1227509383504328,0.12176045916370444,0.07688484819195533,0.08821685806564662,0.10991027339228562,0.15337097413305725,0.12340097087952825,0.06919825378628004,0.0809772784750049,0.14468276074954442,0.0647577804236396,0.08617777161884542,0.09610857083346726,0.11793979061589499,0.09280398560147132,0.11918327081552212
sharp,0.11925190978429534,0.10112881062454299,0.07528671640301904,0.10388356902973449,0.06906076595187187,0.09687094323360806,0.08886075759416118,0.1012874726974775,0.07107372706135114,0.10440613839913297,0.07367991324928072,0.11937593778266627,0.1416027545928955,,0.08839638061719397,0.08116289414465427,0.0652714660756436,0.0994324480606751,0.11779125920600361,0.10408202845703911,0.06941954344056728,0.07989138051528823,0.09369467750989965,0.1369367609373652,0.09178536300632087,0.06200186186470091,0.06215165721784745,0.0988179784682062,0.059042918116406155,0.0789408509247005,0.09235052830051808,0.10670769871532462,0.08723556238052609,0.10997236624360085
realistic,0.2021180441580623,0.17699306067079307,0.14837876349114454,0.18518213272715608,0.1379513313786851,0.16692775258914047,0.17233028609816933,0.18933279638340372,0.19017413320640722,0.17255320677414854,0.1381387282907963,0.19906993872589535,0.20052692852914333,0.2160322666168213,0.15198828888070934,0.19875990971922874,0.13886011546620955,0.1775847307982899,0.19251832811851202,0.17417673815309612,0.1364099911337941,0.13363573890593317,0.14846908059661035,0.2398534092713486,0.18750035902485251,0.1245915840069453,0.1384498132674983,0.17553461555923736,0.1097904272377491,0.1281935971637722,0.15812250150038915,0.18793686173398402,0.15765379487505454,0.19050414242914745
fantastical,0.12770737521350384,0.1265737870708108,0.11911935359239578,0.12693423482899865,0.1006521223379033,0.0992427510874612,0.13532533090222965,0.13150241374969482,,0.10782399841330269,0.11906773783266544,0.12805338310343878,0.047640878707170486,,0.127701935172081,0.12496229261159897,0.10072078386490996,0.11054604221135378,0.1156743789712588,0.11578786586012159,0.09922368824481964,0.08320200070738792,0.12817476317286491,0.12722080167044292,0.117249496281147,0.11105946265161037,0.10929774586111307,0.06991082616150379,0.07143672509118915,0.11135904242595036,0.12115258537232876,0.12079273809989294,0.11473701931536198,0.11396495401859283
structured,0.08901562943885272,0.09060516767203808,0.062262790836393835,0.07709934962231939,0.06261900250933,0.07952258050537263,0.0923232716705763,0.08110382381635599,0.07253615664584297,0.0613901836797595,0.06877939283315625,0.08731642454538656,0.025447629392147064,,0.06281070470025665,0.1346992552280426,0.04919635866665178,0.09088162359382425,0.0921677152833177,0.0833382444416589,0.06221228891885594,0.06513776474942763,0.07903900080256993,0.10808465933358227,0.0547292735427618,0.028126538265496492,0.0647177672944963,0.10514287650585175,0.05636051200606205,0.0672669660947893,0.07393648652803331,0.08841515678669447,0.07675169969666494,0.07380135985160316
ordinary,0.12156236916780472,0.10055734924972057,0.07815966606140137,0.08388896311322848,0.07776985604315996,0.07463110091962985,0.07496302525202433,0.07798552336171269,0.10299497097730637,0.09267766273727543,0.024646845646202564,0.07890042263482298,0.11783163994550705,,0.06439182307157251,,0.11713813580572605,0.07453935779631138,0.09547214132423203,0.08203641929183945,0.064726190856443,0.046343332466979824,0.11073809117078781,0.13027397657816225,0.12978853285312653,,,0.11783163994550705,0.042255944306296964,0.05026270356029272,0.06433885314447038,0.08115495604773362,0.0634268159451692,0.09673723019659519
interesting,0.1480972243472934,0.13830626907124036,0.11475056575404273,0.13939868686039272,0.09659816128975254,0.12766840613357305,0.1321257846792797,0.14826656635720414,0.13231103257699448,0.12956997662782668,0.11317561566829681,0.16282882827978867,0.09873178104559581,,0.1245590945429824,0.07117512077093124,0.10119642950594425,0.13720257783101664,0.14707015028509957,0.13857310855726027,0.10711713811408168,0.10383554165148073,0.11984772534995544,0.17171666515555153,0.13247634131800046,0.09677932648496194,0.10980230023062998,0.11942834373224866,0.09044256325190266,0.1090035991449105,0.12025699559428277,0.14844383625918395,0.1219673172808161,0.145933128228145
abrupt,0.2403318265080452,0.1870284855365753,0.17023274656839488,0.22057618331442128,0.16260679206758175,0.200466320716909,0.20923320271196913,0.23001111193200735,0.20229944959282875,0.2053561907033531,0.15505808256566525,0.22283899762800763,0.05740812048316002,,0.18078410411171153,0.20630092769861222,0.15559222782030702,0.20596552771680496,0.2376026691759334,0.1975827285999893,0.15360899414867163,0.16569854026394232,0.1787634995765984,0.28197889238595963,0.20446388710003632,0.17816854268312454,0.1664485793847304,0.20214704163372516,0.13003850002319384,0.16728119778574682,0.18468955166022713,0.22072629757384035,0.17720978015235492,0.21883723595920873
exciting,0.22189313271328023,0.20557980868034065,0.1626708490980996,0.20510692561772417,0.12821993247295418,0.18395861495991012,0.1926531222497308,0.21256116323901297,0.20844374100367227,0.1956780273635108,0.16131866253588512,0.22304015062950752,0.17702154722064734,,0.17951659307823525,0.21220847591757774,0.14931799874951443,0.19399978800823814,0.2127273292895758,0.22229806662991988,0.1527689512762608,0.16171031097571056,0.17354090960527008,0.2579927658766843,0.19606442952697928,0.13823576000603763,0.1544185673648661,0.1989859901368618,0.1258170595575197,0.15279956433480069,0.1714515318704206,0.22473409665110228,0.17141828357756556,0.21038294196701968
