,d,v,ɥ,b,n,k,p,ɔ,o,j,z,a,ɲ,l,ɡ,ɛ,e,ŋ,s,f,ə,u,ʀ,i,m,ʒ,t,ʃ,w
happy,0.13780601102520118,,0.10398779002328713,0.07598175242057313,0.12359533947892487,0.08771894726339939,0.09054186249053792,0.1031376035197785,0.043640611693263054,0.10307807680219412,0.10930473171174526,0.07779732767273398,0.13284599781036377,0.12209879762182634,0.09263714263215661,0.08204633396651063,0.029674209654331207,,0.10035385817966679,0.03568201915671428,0.11863120943307877,0.06573877418818681,0.09402522171336797,0.08819473278708756,0.10461572515778243,,0.12184246962494923,0.10831858466068904,0.04999333079450014
hard,0.14542634309166008,0.07323983177369417,0.09250379332269613,0.09744397906023403,0.12983910485011776,0.10776807241602906,0.0977098977424994,0.10976979027277436,0.062196685860936456,0.09883397036885962,0.07036441360675805,0.10326553041729626,0.11924013867974281,0.10666678523084203,0.133976766314262,0.09723424308878534,0.08182143904268742,0.06301139760762453,0.09360072146876748,0.07257653973028651,0.11630980646417986,0.07658425097171434,0.11058496436399727,0.09517807108793586,0.10251332643545336,0.12285351008176804,0.11031144846019265,0.09968952287829691,0.07082268855689715
harsh,0.26716154260007113,0.13982684598412626,0.1715046884836974,0.17891197506594295,0.23379159222046533,0.2009772495867181,0.17394934155149944,0.20699346931965162,0.11471099171925474,0.18001413679060838,0.13368942754695545,0.18876556643141956,0.22469319868832827,0.1923187309787387,0.24368928471564227,0.18334073573350906,0.15307619894544283,0.1308782584965229,0.17274190274527274,0.1338861469994299,0.21960988676836413,0.14106877300461443,0.20630975261385187,0.17564400173811975,0.1875866075494775,0.22107475996017456,0.19992398695777291,0.1835768844491692,0.13420310784285225
heavy,0.13698892822672784,0.0646431035839203,0.0787521476785724,0.09047144018704929,0.11748912817749538,0.0991101466663654,0.08992978682698205,0.09978099435261667,0.04395391047000885,0.08837652500978736,0.0651148878650306,0.09731993433875097,0.1007178674141566,0.10079218917966482,0.1256812828870719,0.09694564209452697,0.07803709844925574,0.06132553983479738,0.08496483131311834,0.06751162600186136,0.10771957611931222,0.07150236142669769,0.10225671475289368,0.08728435105342724,0.0944943164746898,0.11323845386505127,0.10176313038429488,0.0924873640558318,0.06596172167184322
inhibited,0.2706228292857607,0.13463610501551046,0.16900880289850412,0.17231782365303774,0.24082806651912084,0.19565445818515564,0.1735449918310776,0.20248322712069147,0.11065734239916007,0.17878059637935265,0.13074933943917622,0.18465122585455893,0.2224851055070758,0.19149719247395552,0.24209854509016232,0.17812981303123868,0.14949235891302426,0.12163474783301353,0.166746641827535,0.12997882111812942,0.21699918464559023,0.13835491897832405,0.2008092449521119,0.17669181654729493,0.1852073021373659,0.21659310162067413,0.19960985018507293,0.17884549782961928,0.12707270183560684
interesting,0.17662235827495654,0.08657692115882347,0.11680977030292801,0.12338809175860314,0.1506592127330163,0.13036937682692884,0.11736664731885485,0.13957874936362108,0.07459654638336764,0.11632340059087083,0.09806259092493136,0.12851958473420322,0.1440649598836899,0.1301499672323287,0.15668259075154428,0.14102830399166455,0.08397929991285007,0.08743888419121504,0.11472725010279453,0.09660044736643829,0.13842224767026695,0.0978122542636763,0.1294287686334483,0.12208030017189167,0.12703445947475053,,0.13665752467610429,0.12578459891986538,0.09528434638404983
masculine,0.31171739771962165,0.17087416526149302,0.16235156108935675,0.2357284595792213,0.26469088247732114,0.22814009878177033,0.23048185877269134,0.2585190157406032,0.14949602144770324,0.21053276259614073,0.17463217578504397,0.23930075360669031,0.06412947177886963,0.2309786516394633,0.2956762941497745,0.2436354405113629,0.2795279522736867,0.13644138723611832,0.2241823824122548,0.16260063066852815,0.2587321837400568,0.17938372633747152,0.2347741003326151,0.23505086500970823,0.2346932822996277,,0.25733067918918096,0.2468853948059781,0.171417281547418
mellow,0.1124014106352587,0.08385826664608578,0.08112970684413556,0.10316348191037888,0.10831120947287196,0.088106465632102,0.08901887520941722,0.10038813371002005,0.07180011758787765,0.08781011588871479,0.0842499404742911,0.08850486495251221,0.09357065334916115,0.10003541260957718,0.1195805133598992,0.10476707053535125,0.08788057987888655,0.10893851704895496,0.08032436469143414,0.08315490755194332,0.12271086955743452,0.07888227706037772,0.10427006755720128,0.07925461721716899,0.08735835317660261,0.1188775971531868,0.08257041801900968,0.09071078179504281,0.0694243171336976
nonsolid,0.13084290860617748,0.08083434533831235,0.11391776318059248,0.10885168030148461,0.13065979242897952,0.10982762766557758,0.11249883994460105,0.1197475429558963,0.08887408412992955,0.09740392532613543,0.0922481530015507,0.11003017402254045,0.09857341088354588,0.11086965341773411,0.12181427840565898,0.11393874477256428,0.08900696618689431,0.11142689175903797,0.11171688418835402,0.09721521868378716,0.12383212773381053,0.0980614379483771,0.1115363406476064,0.10631381892054886,0.1092509587109089,,0.1138983924785701,0.11681230743141735,0.09438659837751677
passive,0.10175416685847773,0.06231537790492524,0.08540551764545617,0.0818227567067442,0.09504169624830995,0.08310594928583928,0.08408927134654488,0.08947604572337665,0.06288329256629502,0.07389672605010371,0.06729543949099812,0.08149243911826297,0.08711862284690142,0.08380300688246886,0.09434370838610803,0.08669519249130697,0.06965432489911715,0.0791776031255722,0.08081991077367082,0.07136786256160121,0.09206384642710609,0.06968359939361873,0.08699444081824627,0.07763321917963113,0.079893808328995,0.07943926751613617,0.08547664336536241,0.08594906890905031,0.06814284293242723
