,a,aː,ã,b,d,d͡ʑ,e,eː,ẽ,f,h,i,iː,ĩ,j,k,l,m,n,o,oː,õ,p,s,t,t͡ɕ,u,v,w,z,æ,ð,ŋ,ɑ,ɔ,ɕ,ə,ɛ,ɡ,ɥ,ɪ,ɯ,ɯː,ɯ̃,ɰ,ɲ,ɴ,ɸ,ɹ,ɾ,ʀ,ʃ,ʊ,ʌ,ʑ,ʒ,ʔ,θ
rugged,0.23657574072958995,0.21891636199184827,0.2868824750185013,0.2520222447675584,0.28295963429440696,0.37142268896102903,0.23871616661715633,0.1632675752043724,0.23225238919258118,0.1713057833530202,0.21334550019708418,0.259550284166844,0.22130624663371307,0.3252120018005371,0.23833025953718298,0.25683968373023636,0.2510108437431215,0.24405848578652795,0.28913835669587645,0.22322705052193254,0.09157197549939156,0.29307500272989273,0.23847596694452922,0.25090744052484826,0.27377881682459815,0.3267401501558844,0.1886094050069688,0.1744757436397599,0.20071870067645495,0.2226501791427533,0.1969409796098868,,0.23855152633144155,0.218091284578785,0.2184202138404801,0.31242863073484184,0.284039553524547,0.24433121966099103,0.2658301669170968,0.2516868695616722,0.27368141938064056,0.32113186057189247,0.23732770835199662,,0.2764394839222615,0.23305704149728018,0.2607261281340353,0.3036063606185572,0.26000690367897,0.35055230816533745,0.23120827103654543,0.1967597547142456,0.2152485504746437,0.2892739476784708,0.34279955465060014,0.24460773169994354,0.24644323082073874,0.22707440704107285
delicate,0.0817585181236876,0.07004911655729468,0.0973389632999897,0.07273802048225393,0.08373675088986865,0.09724151343107224,0.07804971273810148,,,0.06753064544969484,0.06927063386237867,0.07731508542363827,0.07700695237144828,0.09486733935773373,0.07947454000536429,0.07992224254311248,0.08261077631865299,0.0807601584511626,0.08896494600823517,0.07353033814841205,0.06034428129593531,0.10030438005924225,0.08394012776499571,0.07764815172439346,0.08127118874254607,0.10266411926245392,0.0658710393645872,0.06245750002563,0.06744395000733873,0.07218530030335162,0.07928543803947312,0.07999177277088165,0.08569795937140182,0.07343139233333724,0.07364387954688734,0.09485922930604321,0.08588291871312417,0.08585610535888993,0.08723813234655946,0.07668577022850513,0.07935280431756529,0.10216746314277085,0.08515385402874513,0.09568081796169281,0.09912432223558426,0.08495244070266683,0.08917493958558355,0.0996940365433693,0.07742797546088695,0.09410019336369237,0.07776128671179383,0.07335821144721087,,0.09011843579385798,0.09460881402095159,,0.08396687937226702,0.09485611319541931
active,0.09765819040484117,0.08193203079558554,0.10908249765634537,0.09767317868988395,0.1107638544252303,0.1410133210213288,0.0931541736822064,0.06208819570019841,0.09002941846847534,0.07135702226088532,0.0786424343619237,0.0921432461636664,0.08993380406702106,0.11064622551202774,0.09062566845436804,0.10057539938955884,0.10325885024539909,0.09884070056224836,0.11483183032248045,0.0846416012685418,0.034553639590740204,0.11497603356838226,0.09808777279436268,0.09509486421577146,0.10552069515729151,0.13200204634333249,0.07687845043478816,0.07510165140210162,0.07530392812097203,0.07872606889125579,0.0770373870271133,,0.09479973027663291,0.08565653301775455,0.08136455794912326,0.11784707380180386,0.1069457806109665,0.08873525746398175,0.10356331260653139,0.07286040919522445,0.09271510275640736,0.12524659848461767,0.09895844099133513,0.1144740842282772,0.10040186956524849,0.09647862762424417,0.1041501603439587,0.11266124408159937,0.09624029350522746,0.12605290546047468,0.09015610734610979,0.07354839498099561,0.10020138835534453,0.11619771961533182,0.13348011821508407,0.0947849228978157,0.09367615110644205,0.09374188342028195
passive,0.09187072406802016,0.07620429545640946,0.10473160073161125,0.08442279666949655,0.09459678730312383,0.1047718819034727,0.08542368508130312,,,0.07234966406679672,0.08184470929205417,0.09160621124186685,0.07978491165808269,0.10996239384015401,0.08219084475810329,0.08985079146604372,0.09302674036377312,0.08152016476121579,0.09835354345069175,0.09588947333382108,0.07064621336758137,0.0995246817668279,0.09371376614320263,0.08392274443941183,0.09854690572570285,0.11190238724574403,0.07393085826020207,0.04874035343527794,0.08387094459524662,0.08223704653126852,0.09020501654595137,0.08603791147470474,0.1033345827092207,0.08845005988290436,0.08466806006617844,0.10135305061554298,0.09718512052781561,0.09828523766153897,0.09407812249357228,0.07757751146952312,0.09545571067266995,0.113106534401197,0.08497347906231881,0.10542611281077068,0.10844898775771812,0.10092660516500473,0.09863928232628566,0.11093893398841222,0.09733232669532299,0.10641329813488694,0.08150066816735835,0.08288556727625075,,0.09820551058620816,0.10062837827464809,,0.09383493973339191,0.08941807101170222
fast,0.11589219721277617,0.10175691762318213,0.13625516183674335,0.11881597226435774,0.13367714629998703,0.16839056834578514,0.10650576419951557,0.0780753344297409,,0.0926017804830003,0.09592175276414258,0.1154656040594366,0.12059956055600196,0.13594943657517433,0.11321283757053201,0.12179319058906704,0.12516002879999358,0.1151171506005379,0.13815886054003454,0.0980411685376699,0.0419783890247345,,0.11828752794525682,0.11345590837062304,0.12547128579647787,0.15746325809641976,0.0945779930190505,0.08171316266355172,0.08995884682730663,0.10294167615694537,0.09610857083346726,,0.11285393412141717,0.1048958951004726,0.11112781585515699,0.14064689393226917,0.1392735698214489,0.11204568782302081,0.1234802740872612,0.08306239749349299,0.11216750732787392,0.14921097402598166,0.12753942222506912,0.14134230464696884,0.12446917623281478,0.09092067135497928,0.12554936561429378,0.14121267311275004,0.1227509383504328,0.15168890893180795,0.10472876794769295,0.09067801585382095,0.12155634785691898,0.14317973867611128,0.16665318472818894,,0.11694707668253354,0.09567394852638245
slow,0.03696687061056172,0.033520483411848545,0.038088869924346604,0.03567671317887367,0.03857888330251755,0.04656504331664606,0.031977793598099546,,0.029381921514868736,0.03231357819433406,0.03188096202740615,0.037365277993950195,0.03447770785826903,0.049223436042666435,0.03502490775918126,0.03761919261201385,0.038392591612310976,0.034890910191571874,0.040320872601516775,0.03612041162214782,0.029924819245934486,0.03816481493413448,0.03906141464322383,0.0341275554596862,0.039498155825842915,0.04652438553386047,0.030449624836034157,0.035691455006599426,0.035609527880221294,0.031026402004693004,0.0378169006268893,0.037914302200078964,0.04173441980103324,0.03508030574180578,0.03429220576681906,0.04206980287187522,0.03742092426203821,0.04275811853862944,0.038555451791986016,0.036482120864093304,0.04045874964107166,0.04552651539574963,0.036586527627977455,0.04148449252049128,0.044481789936190064,0.04082066913445791,0.03788141409556071,0.04272672710450072,0.03640839446223143,0.04258568748308901,0.034092482818818805,0.03483018449818094,0.034140512347221375,0.04367643038565576,0.042640896031150115,0.032015446573495865,0.03679486239949862,0.03995845520070621
sharp,0.10542735887726298,0.09061760462268635,,0.11341275551443868,0.1266889664406765,0.1710855022949331,0.10676687512940541,0.07264963537454605,,0.07359880121849331,0.0970705217644196,0.1090560142797545,0.11316845081746578,0.1381130889058113,0.09836785771004995,0.11582248788472846,0.11884344510228,0.10719373004975662,0.1328862492784503,0.10201985686979917,,0.1708044707775116,0.10978074679430086,0.10557533518833764,0.11645184937726609,0.15517975808165613,0.08398660442011903,0.10466979830525816,0.07754222240738964,0.09088408574789492,0.09235052830051808,,0.11929498559097837,0.0994324480606751,0.10252844141010051,0.14385359795534447,0.12921262984235699,0.10303692850406415,0.11944970889609413,0.08791317545216192,0.1012874726974775,0.1463907458813928,0.12255357659381369,0.14675000309944153,0.13227025792002678,0.0911281062925065,0.12303619760399064,0.14373997327956287,0.11779125920600361,0.1477627664183577,0.10820458701155225,0.07752200782104048,0.08116289414465427,0.13227193775827395,0.16836050288243729,,0.11282548330103358,0.07107372706135114
round,0.037426210444920074,0.0357408438809216,0.04458728153258562,0.03680181262316762,0.03931419464516416,0.04660758220901092,0.03290642316997081,,0.03329920768737793,0.031305085986854636,0.031264864448188004,0.037515188651228784,0.03514636121690273,0.04959262286623319,0.03799794639538353,0.03849674054091126,0.038134832293289345,0.036694980187441474,0.04048042268681978,0.03402128940815934,0.03203719388693571,0.04135309066623449,0.03873159092165674,0.03642177544817088,0.039188263118107275,0.046049694933416235,0.030941127674865957,0.02601875337785569,0.03355943385583853,0.03459647412134518,0.03519616109897961,0.038910023868083954,0.03896724448582279,0.034461409971117976,0.03456107206606808,0.044641046192158355,0.03813525268397645,0.04124736953479158,0.038856612483267716,0.035112977493554354,0.03732982787646746,0.04725605167413603,0.03966600801795721,0.04610144440084696,0.046614218329967455,0.04425151703051395,0.039104419068829846,0.047114680255098004,0.0359486162972947,0.04457102630632039,0.034034002430993936,0.03212766870957516,0.04039691761136055,0.04341774884369073,0.044694109136859575,0.034233786165714264,0.038024360897825724,0.03999247319168515
realistic,0.1881444569888409,0.1761437534638073,0.22628812305629253,0.18515528847542914,0.22171235783150023,0.2739141934684345,0.18059246001122076,0.13509631529450417,0.1786555051803589,0.1339101193257617,0.15831192243430348,0.18433071607528945,0.18088838034148874,0.24022983610630036,0.1825226540733854,0.19529944342495856,0.19871004107549115,0.18785286163928028,0.22274948700446218,0.16583780742678095,0.15813533663749696,0.23353269323706627,0.18971640315179972,0.18667601670290945,0.20220167807569153,0.25075065194039925,0.14839119700021106,0.15946450411493696,0.15411072887827612,0.16171808805486354,0.15812250150038915,0.2160322666168213,0.18665882385433893,0.1775847307982899,0.1637091014176002,0.23186997157154662,0.21889849082345575,0.1872770742166865,0.20497618440441503,0.14699883952184958,0.18933279638340372,0.24739634595710097,0.19465892542811,0.23396760523319243,0.22536089907710752,0.1993428150862001,0.20854970440268517,0.2332289273801603,0.19251832811851202,0.24832716292562104,0.17981446379864657,0.1533089003429646,0.19875990971922874,0.21645499188026274,0.24686413206333338,0.18565534055233002,0.19970690881883776,0.19017413320640722
fantastical,0.12301959568744536,0.10267822444438934,,0.13532533090222965,0.14230423952851975,,0.08186056185513735,,,0.12704519033432007,0.09348990209400654,0.11630645610419088,,,0.10232198847965761,0.12961718318836082,0.12550670862063962,0.0934504786107157,0.1379466333736976,0.1010296371144553,,,0.12883416963741184,0.12371259772932375,0.12323404215810442,0.14908477663993835,0.08805996381367247,0.047640878707170486,0.09147855418268591,0.08650872949510813,0.12115258537232876,,0.13512778282165527,0.11054604221135378,0.11933467350900173,,0.12722080167044292,0.14448035135865211,0.13030956173315644,,0.13150241374969482,0.147698591897885,0.11953640356659889,,0.14577457308769226,0.12464610983928044,0.12330182082951069,0.14565187692642212,0.1156743789712588,0.13790106193886864,0.11724753230810166,0.11911935359239578,0.12496229261159897,0.13299696945718356,,,0.10438887899120648,
structured,0.09592026604410124,0.04374310653656721,0.12138110026717186,0.09513636881365055,0.10011583058322493,0.13318101944107757,0.10090150186974423,,,0.0774492354279286,0.07533760392444505,0.09285423278716408,0.09463117119263519,0.1318605144818624,0.07974925430328085,0.09611717721420292,0.09595406504158425,0.0964410743379888,0.11015562353417355,0.086295120076752,0.03087880928069353,0.13764099776744843,0.0984562597350705,0.09350617911829903,0.10054218648526256,0.12554313472974904,0.07778810499151716,0.05003989324904978,0.07986741015153183,0.07208141148687479,0.07393648652803331,,0.08352866151888885,0.09088162359382425,0.09070433743246314,0.11730200768344932,0.10209485845117972,0.09195871365567049,0.10196723030386572,0.06628980138339102,0.08110382381635599,0.12272765207175154,0.1076489038327161,0.111207015812397,0.11719240108504891,0.08660466159310412,0.09802493262528018,0.11368406414985657,0.0921677152833177,0.11984818202725957,0.0928644488255183,0.07906510643113185,0.1346992552280426,0.10338742422741284,0.12970736622810364,0.09757355600595474,0.09891863456383969,0.07253615664584297
disorganized,0.052710819620164245,0.04742268516227256,0.05856696330010891,0.052879784091898335,0.058020065401748616,0.06850522384047508,0.048327154257932374,0.041243231389671564,0.043140966445207596,0.04597796801816109,0.047906039166264236,0.053013612362758485,0.04821779289179378,0.04764927551150322,0.05097088244709985,0.05434678359550054,0.05565209871628531,0.05251784350792166,0.05870121373285421,0.04884688025334718,0.03769653911391894,0.05564208080371221,0.0543002636888653,0.05268881833834546,0.05589104061925332,0.06934866869247042,0.044739849172447575,0.04292374023897273,0.04773868780178852,0.05019200060607206,0.050117629958261356,0.055372655391693115,0.05726670964513902,0.05023454719936693,0.04828780212089525,0.06047470793128014,0.056515329670256534,0.054346839258611425,0.05528681133437194,0.05224140658974648,0.05441070271327215,0.06678073609815946,0.05150554308460818,0.06596070155501366,0.06081648820485824,0.054701865588625276,0.05805249287657542,0.06264209396072797,0.05358396862968079,0.0636635598825003,0.04845250653133867,0.046626591887567334,0.044519709423184395,0.06403428805060685,0.06321102636201041,,0.05312084236906634,0.057852879911661145
ordinary,0.10838568172882494,0.09124287962913513,0.12108673403660457,0.08344656269198063,0.10138557230432828,0.13704192141691843,0.09486241134650567,,,0.052790932926452816,0.06793379426623385,0.09571224442659898,0.1088629886507988,0.13099318742752075,0.11843644291358559,0.10356566854581323,0.10457125255982962,0.10146008093721973,0.11382697504699167,0.08323505286664921,,0.12000339974959691,0.10321973557820457,0.08821252015414277,0.10398489653993376,0.13285288094159436,0.08074134589560052,0.09975490455205241,0.0868443227276406,0.08652060033510561,0.06433885314447038,,0.09756526409435774,0.07453935779631138,0.10494806215336377,0.11741027670602004,0.10353513082869376,0.12341985975702603,0.11294615560916221,0.09155738763511181,0.07798552336171269,0.12875238137618028,0.09451242381085952,0.11437883228063583,0.12177221124109469,0.08438376989215612,0.09029137842091066,0.10763807136278886,0.09547214132423203,0.1324551430452301,0.09463722327793087,0.060929635353386406,,0.10902709237814665,0.13101199567317962,,0.10877095808585485,0.10299497097730637
unique,0.028909648481385275,0.02613490679096885,0.03282281942665577,0.02889052616773512,0.02993856834466843,0.036148363491520286,0.026991591343123997,0.022835975978523493,0.02458222024142742,0.025001185475906275,0.02641368463553269,0.029026358014805458,0.026450450572630634,0.03448715743919214,0.02829589550595371,0.029194016578809923,0.0295898904738911,0.028656490104824392,0.03202617314501238,0.026949708633263434,0.021224839240312578,0.032071154564619064,0.029817908839881363,0.02867877834520624,0.029790442541791095,0.036576619008932845,0.024486169850619927,0.021989228927555518,0.025024344120550795,0.027637896832565827,0.026813253144463225,0.027049129828810692,0.030050343113661223,0.02767679192672629,0.02665387821047077,0.03527176559088737,0.030190293676210237,0.028038188721984627,0.030095954526982688,0.027582468563004545,0.028228598427004325,0.0352898215030968,0.02919674110485286,0.03447339124977589,0.033567792425553,0.03117307633439806,0.030792944246169292,0.03568700049072504,0.02813204436385927,0.03429583395530741,0.02647887298051234,0.02596761574439535,0.03144921129569411,0.03221777449159718,0.03519008240916512,0.026830920949578285,0.0292760382524167,0.02770228497684002
interesting,0.14266407896195166,0.1262852423957416,0.16250650336345038,0.142644802261905,0.16700895633866897,0.20050871314910743,0.12690652243963485,0.10498599801212549,0.12202958017587662,0.11219875166900714,0.12274629233105562,0.1418179911620383,0.1337367580517342,0.19510488212108612,0.1321898783319721,0.1468051550070706,0.14874418705959366,0.14030326455460862,0.1713421456725672,0.12597071481497826,0.09157252063353856,0.17678453028202057,0.1429188038868019,0.13839301928086029,0.15373331124936332,0.1892801262016734,0.11548538220839182,0.09265435110220964,0.11652002021531623,0.12544070575620236,0.12025699559428277,,0.14132958571530052,0.13720257783101664,0.1302652146063557,0.17370370558152595,0.15937247382362435,0.14673484121638325,0.15400081651973874,0.11531842332333327,0.14826656635720414,0.18119739927727768,0.14658809415996074,0.17763324826955795,0.1624215016591138,0.14849205596838147,0.15477200591315826,0.16872456818819045,0.14707015028509957,0.17906601932279917,0.13226585837449142,0.12026758233695406,0.07117512077093124,0.16584490554059197,0.19451738981639638,,0.14223853398013758,0.13231103257699448
simple,0.08383634647715806,0.07591206726391574,0.11308334581553936,0.07858881103867517,0.09668192415732152,0.12967148776117124,0.08230993564226283,0.059966010972857475,0.09211330115795135,0.05259550118807811,0.06867740619490777,0.08340781257992616,0.08336182468031582,0.1182684674859047,0.08373012657613284,0.08966362735263331,0.08919481542890954,0.08754644089845842,0.1036280034541289,0.07626958085398591,0.059738132171332836,0.10851364210247993,0.08732505003081555,0.08810915874774519,0.09164589260712315,0.12128006640821695,0.06257671264064585,0.05897960469455403,0.06445542934990904,0.07004980660089734,0.06378590198669662,0.10549484193325043,0.08140624437987191,0.07068377839062702,0.07155964813326915,0.10887038557136312,0.09751016509847132,0.08679652404380105,0.09031382532138188,0.0646481429040432,0.08055318401062063,0.11817453404238548,0.08619764646781343,0.11399818658828735,0.10814687640716632,0.09121869453894241,0.09472682304282225,0.10831976473331452,0.0852363922871476,0.1150385466300779,0.0807476922376379,0.06074007123373114,0.09298310521990061,0.09626643800293475,0.12726152025991017,0.09186851978302002,0.09311680782054152,0.07608506688848138
complex,0.03126023779115679,0.030331120640039445,0.03232605289667845,0.03121916294229927,0.03084723287788989,0.03859283596925114,0.029439142862070413,,,0.026871658046729863,0.026275046081564418,0.03156156182640454,0.029492458142340184,0.04085473716259003,0.028987493651457967,0.032139673241797465,0.03144126906743949,0.029355746324465228,0.03258590708276134,0.027175444386714303,0.01845203898847103,0.04304780811071396,0.03173235352961312,0.029016252543504643,0.03157751901749923,0.039171896881372154,0.02724274641900412,0.027831039391458035,0.026807900182282653,0.02847580650170492,0.029629188681057857,,0.03306277545614629,0.031439100173028076,0.03140628126760324,0.03615893155966007,0.031770471658661856,0.03218322110155391,0.03215268587358059,0.0333839925006032,0.03171497707565626,0.036523845438538774,0.03252467462284998,,0.032860788250608106,0.03137606873430989,0.034537513616184394,0.035276085953228176,0.029763065208241624,0.037092352069394534,0.028299326742334024,0.03038144410636864,0.028233878314495087,0.035972877606919085,0.03571849234867841,,0.028679925249889493,0.030810542404651642
