a	AH0
job	JH AA0 B
jobble	JH AA0 B AH0 L
jopper	JH AA0 P ER0
jot	JH AA0 T
jower	JH OW0 W ER0
jub	JH AH0 B
juck	JH AH0 K
juke	JH UW0 K
jur	JH ER0
jut	JH AH0 T
kaak	K AA0 K
keak	K IY0 K
keck	K EH0 K
kewt	K UW0 T
ki-yi	K IY0 Y IY0
knal	N AE0 L
knap	N AE0 P
knickety-knock	N IH0 K AH0 T IY0 N AA0 K
knoll	N OW0 W L
kyoodle	K Y UW0 D AH0 L
lab	L AE0 B
la-di-da	L AA0 D IY0 D AA0
laldy	L AO0 L D IY0
lall	L AO0 L
lamp	L AE0 M P
lash	L AE0 SH
lill	L IH0 L
lob	L AA0 B
log	L AO0 G
logger	L AA0 G ER0
lop	L AA0 P
losh	L AA0 SH
lounder	L AA0 W N D ER0
loune	L AA0 W N
lout	L AA0 W T
lull	L AH0 L
lulla	L AH0 L AH0
lulliloo	L AH0 L AH0 L UW0
lunch	L AH0 N CH
maa	M AE0 AA0
maule	M AO0 L
meep	M IY0 P
mew	M Y UW0
mewt	M UW0 T
mewl	M UW0 L
miaow	M IY0 AA0 OW0 W
miff	M IH0 F
mim	M IH0 M
mimp	M IH0 M P
mm	M
moo	M UW0
mop	M AA0 P
mph	EH0 M P IY0 EY0 Y CH
mphm	M F M
muff	M AH0 F
muffle	M AH0 F AH0 L
mum	M AH0 M
mump	M AH0 M P
murr	M ER0
mustle	M AH0 S AH0 L
mwah	M W AA0
nicker	N IH0 K ER0
niminy-piminy	N AA0 Y M AA0 Y N IY0 P AA0 Y M AA0 Y N IY0
nipper	N IH0 P ER0
nuh-uh	N AH0 AH0
num	N AH0 M
nummy	N AH0 M IY0
nyaff	N AA0 Y AE0 F
nyah	N AA0 Y AA0
oink	OW0 Y NG K
oompah	UW0 M P AH0
oomph	UW0 M F
ooyah	UW0 AH0
ou	UW0
ouch	AA0 W CH
ouff	OW0 W F
paff	P AE0 F
pah	P AE0
pamp	P AE0 M P
pang	P AE0 NG
pash	P AE0 SH
pat	P AE0 T
pech	P EH0 K
peeoy	P IY0 OW0 Y
petter	P EH0 T ER0
pew	P Y UW0
pewewe	P UW0 UW0
phah	F AA0
pheal	F IY0 L
phew	F Y UW0
phit	F IH0 T
pho	F OW0 W
phoo	F UW0
phwoar	F W AO0 R
piff	P IH0 F
piffle	P IH0 F AH0 L
ping	P IH0 NG
pinge	P IH0 N JH
ping-pong	P IH0 NG P AO0 NG
pink	P IH0 NG K
pip	P IH0 P
pip-pip	P IH0 P P IH0 P
pip-pop	P IH0 P P AA0 P
pirrie	P IH0 R IY0
pish	P AH0 SH
pist	P AH0 S T
pit	P IH0 T
pit-a-pat	P IH0 T AH0 P AE0 T
plap	P L AE0 P
plapper	P L AE0 P ER0
plash	P L AE0 SH
platch	P L AE0 CH
pleep	P L IY0 P
plink	P L IH0 NG K
plip	P L IH0 P
plish	P L IH0 SH
plonk	P L AA0 NG K
plop	P L AA0 P
plout	P L AA0 W T
pluff	P L AH0 F
plump	P L AH0 M P
plung	P L AH0 NG
plunk	P L AH0 NG K
plup	P L AH0 P
pob	P AA0 B
pobblebonk	P AA0 B L IH0 B AA0 NG K
pock	P AA0 K
pocketa-pocketa	P AA0 K EY0 Y T AH0 P AA0 K EY0 Y T AH0
podge	P AA0 JH
poh	P OW0 W
pong	P AO0 NG
poof	P UW0 F
pooh	P UW0
poop	P UW0 P
poot	P UW0 T
pop	P AA0 P
popple	P AA0 P AH0 L
potrack	P AA0 T R AE0 K
pow	P AA0 W
pring	P R IH0 NG
proo	P R UW0
prut	P R AH0 T
pshaw	SH AO0
psht	SH T
psst	P S T
ptish	T IH0 SH
ptui	T UW0 IY0
pudge	P AH0 JH
puff	P AH0 F
puff-puff	P AH0 F P AH0 F
punk	P AH0 NG K
pup	P AH0 P
purl	P ER0 L
purr	P ER0
purre	P
push	P UH0 SH
put-put	P UH0 T P UH0 T
putter	P AH0 T ER0
py hy	P AA0 Y HH AA0 Y
quack	K W AE0 K
quafer	K W EY0 Y F ER0
qualm	K W AA0 M
quank	K W AE0 NG K
quawk	K W AO0 K
queck	K W EY0 Y K
queef	K W IY0 F
quelch	K W EY0 Y L CH
quirk	K W ER0 K
quiz	K W IH0 Z
quop	K W AA0 P
raish	R SH
ralph	R AE0 L F
ramp	R AE0 M P
randan	R AE0 N D AH0 N
ran-tan	R AE0 N T AE0 N
rap	R AE0 P
rash	R AE0 SH
rasteling	R AE0 S T IH0 L IH0 NG
ratamacue	R AE0 T AH0 M AH0 K UW0
rat-a-tat	R AE0 T AH0 T AE0 T
tattartattar	T AE0 T AA0 R T AH0 T ER0
rattan	R AE0 T AE0 N
rat-tat	R AE0 T T AE0 T
tat-tat	T AE0 T T AE0 T
ribbit	R IH0 B IH0 T
rickle	R IH0 K AH0 L
riff	R IH0 F
riff-raff	R IH0 F R AE0 F
rifty-tufty	R IH0 F T IY0 T AH0 F T IY0
roocoocoo	R UW0 K UW0 K UW0
rooty-toot	R UW0 T IY0 T UW0 T
rounce	R AA0 W N S
rous	R AA0 W UW0 S
row	R OW0 W
row dow dow	R OW0 W D AA0 W D AA0 W
rub-a-dub	R AH0 B AH0 D AH0 B
rub-a-dub-dub	R AH0 B AH0 D AH0 B D AH0 B
ruff	R AH0 F
ruffle	R AH0 F AH0 L
ruff-raff	R AH0 F R AE0 F
rufty-tufty	R AH0 F T IY0 T AH0 F T IY0
rum-ti-too	R AH0 M T IY0 T UW0
rum-ti-tum	R AH0 M T IY0 T AH0 M
rum-tum	R AH0 M T AH0 M
rustle	R AH0 S AH0 L
scape	S K EY0 Y P
scat	S K AE0 T
scraich	S K R IH0 K
scraigh	S K R EY0 Y
scranch	S K R AE0 N CH
scraugh	S K R AO0
screed	S K R IY0 D
scride	S K R AA0 Y D
scritch	S K R IH0 CH
scroop	S K R UW0 P
shale	SH EY0 Y L
shallal	SH AE0 L AH0 L
shinder	SH IH0 N D ER0
shoy-hoy	SH OW0 Y HH OW0 Y
shoyhoy	SH OW0 W HH OW0 Y
simper	S IH0 M P ER0
sing-sing	S IH0 NG S IH0 NG
sis-boom-bah	S IH0 S B UW0 M B AA0
sistle	S IH0 S AH0 L
sizz	S IH0 Z
sizzle	S IH0 Z AH0 L
ska	S K AA0
skelloch	S K EH0 L AH0 K
skelp	S K EH0 L P
skronk	S K R AA0 NG K
slatter	S L AE0 T ER0
slodge	S L AA0 JH
sloff	S L AO0 F
slosh	S L AA0 SH
sluffer	S L AH0 F ER0
slump	S L AH0 M P
slumper	S L AH0 M P ER0
smash	S M AE0 SH
snaffle	S N AE0 F AH0 L
snash	S N AE0 SH
snavel	S N EY0 Y V AH0 L
sneck	S N EH0 K
sneer	S N IH0 R
snick	S N IH0 K
snicker	S N IH0 K ER0
snicker-snack	S N IH0 K ER0 S N AE0 K
snick-snack	S N IH0 K S N AE0 K
